Date (WET),BELGIUM (BE),FRANCE (FR),GREAT BRITAIN (GB),GREAT BRITAIN (GB - NORDPOOL),ISEM (ISEM),NETHERLANDS (NL),NORWAY (NO2 - SDAC AUCTION),NORWAY (NO2 - NSL AUCTION)
,GBP/MWh,GBP/MWh,GBP/MWh,GBP/MWh,GBP/MWh,GBP/MWh,GBP/MWh,GBP/MWh
[24/11/2018 15:30],60.35,60.35,61.72,61.72,63.20,60.35,44.57,
[24/11/2018 16:00],75.20,70.70,80.20,80.20,79.60,78.24,45.07,
[24/11/2018 16:30],75.20,70.70,80.20,80.20,79.60,78.24,45.07,
[24/11/2018 17:00],95.93,79.62,100.00,100.00,104.90,97.09,44.83,
[24/11/2018 17:30],95.93,79.62,100.00,100.00,104.90,97.09,44.83,
[24/11/2018 18:00],75.04,69.43,77.48,77.48,81.30,75.23,44.28,
[24/11/2018 18:30],75.04,69.43,77.48,77.48,81.30,75.23,44.28,
[24/11/2018 19:00],64.20,59.53,65.06,65.06,65.20,63.17,43.84,
[24/11/2018 19:30],64.20,59.53,65.06,65.06,65.20,63.17,43.84,
[24/11/2018 20:00],61.34,55.95,63.00,63.00,61.00,61.17,43.74,
[24/11/2018 20:30],61.34,55.95,63.00,63.00,61.00,61.17,43.74,
[24/11/2018 21:00],60.60,54.93,62.55,62.55,61.10,60.58,43.60,
[24/11/2018 21:30],60.60,54.93,62.55,62.55,61.10,60.58,43.60,
[24/11/2018 22:00],70.32,56.50,57.79,57.79,59.20,53.17,42.64,
[24/11/2018 22:30],70.32,56.50,57.79,57.79,59.20,53.17,42.64,
[24/11/2018 23:00],49.46,52.11,65.00,65.00,63.50,48.89,42.91,
[24/11/2018 23:30],49.46,52.11,65.00,65.00,63.50,48.89,42.91,
[25/11/2018 00:00],46.54,48.32,70.00,70.00,66.70,46.14,42.44,
[25/11/2018 00:30],46.54,48.32,70.00,70.00,66.70,46.14,42.44,
[25/11/2018 01:00],44.61,44.61,65.00,65.00,62.00,44.61,41.85,
[25/11/2018 01:30],44.61,44.61,65.00,65.00,62.00,44.61,41.85,
[25/11/2018 02:00],42.94,42.94,57.47,57.47,56.10,42.94,41.57,
[25/11/2018 02:30],42.94,42.94,57.47,57.47,56.10,42.94,41.57,
[25/11/2018 03:00],42.59,42.59,55.97,55.97,55.60,42.59,41.27,
[25/11/2018 03:30],42.59,42.59,55.97,55.97,55.60,42.59,41.27,
[25/11/2018 04:00],42.59,42.59,54.30,54.30,55.60,42.59,41.58,
[25/11/2018 04:30],42.59,42.59,54.30,54.30,55.60,42.59,41.58,
[25/11/2018 05:00],43.50,43.50,49.95,49.95,51.20,43.50,42.45,
[25/11/2018 05:30],43.50,43.50,49.95,49.95,51.20,43.50,42.45,
[25/11/2018 06:00],45.20,47.26,48.29,48.29,49.50,44.75,42.51,
[25/11/2018 06:30],45.20,47.26,48.29,48.29,49.50,44.75,42.51,
[25/11/2018 07:00],48.04,48.08,49.42,49.42,50.60,48.02,43.66,
[25/11/2018 07:30],48.04,48.08,49.42,49.42,50.60,48.02,43.66,
[25/11/2018 08:00],52.33,52.33,53.86,53.86,55.70,52.33,44.39,
[25/11/2018 08:30],52.33,52.33,53.86,53.86,55.70,52.33,44.39,
[25/11/2018 09:00],56.27,54.96,65.00,65.00,63.00,52.43,44.67,
[25/11/2018 09:30],56.27,54.96,65.00,65.00,63.00,52.43,44.67,
[25/11/2018 10:00],56.05,56.05,63.50,63.50,65.00,56.05,44.72,
[25/11/2018 10:30],56.05,56.05,63.50,63.50,65.00,56.05,44.72,
[25/11/2018 11:00],52.93,57.73,60.90,60.90,62.40,51.85,44.65,
[25/11/2018 11:30],52.93,57.73,60.90,60.90,62.40,51.85,44.65,
[25/11/2018 12:00],50.83,56.19,70.00,70.00,71.70,49.60,44.19,
[25/11/2018 12:30],50.83,56.19,70.00,70.00,71.70,49.60,44.19,
[25/11/2018 13:00],52.17,52.25,65.00,65.00,66.60,52.16,44.65,
[25/11/2018 13:30],52.17,52.25,65.00,65.00,66.60,52.16,44.65,
[25/11/2018 14:00],49.07,52.31,61.10,61.10,62.60,48.39,44.62,
[25/11/2018 14:30],49.07,52.31,61.10,61.10,62.60,48.39,44.62,
[25/11/2018 15:00],54.47,54.47,56.10,56.10,58.60,54.47,45.62,
[25/11/2018 15:30],54.47,54.47,56.10,56.10,58.60,54.47,45.62,
[25/11/2018 16:00],59.94,59.94,73.00,73.00,74.80,59.94,46.02,
[25/11/2018 16:30],59.94,59.94,73.00,73.00,74.80,59.94,46.02,
[25/11/2018 17:00],70.62,64.77,98.00,98.00,102.80,70.18,45.97,
[25/11/2018 17:30],70.62,64.77,98.00,98.00,102.80,70.18,45.97,
[25/11/2018 18:00],77.18,63.29,73.90,73.90,77.50,48.47,45.57,
[25/11/2018 18:30],77.18,63.29,73.90,73.90,77.50,48.47,45.57,
[25/11/2018 19:00],71.13,62.03,72.94,72.94,74.70,46.11,44.64,
[25/11/2018 19:30],71.13,62.03,72.94,72.94,74.70,46.11,44.64,
[25/11/2018 20:00],65.25,58.00,61.30,61.30,62.80,44.64,44.05,
[25/11/2018 20:30],65.25,58.00,61.30,61.30,62.80,44.64,44.05,
[25/11/2018 21:00],56.98,55.56,61.00,61.00,61.20,56.44,43.78,
[25/11/2018 21:30],56.98,55.56,61.00,61.00,61.20,56.44,43.78,
[25/11/2018 22:00],56.15,51.87,53.01,53.01,55.60,42.43,42.43,
[25/11/2018 22:30],56.15,51.87,53.01,53.01,55.60,42.43,42.43,
[25/11/2018 23:00],50.02,46.63,53.60,53.60,55.90,44.18,42.77,
[25/11/2018 23:30],50.02,46.63,53.60,53.60,55.90,44.18,42.77,
[26/11/2018 00:00],45.15,43.71,53.97,53.97,55.40,43.70,42.30,
[26/11/2018 00:30],45.15,43.71,53.97,53.97,55.40,43.70,42.30,
[26/11/2018 01:00],42.79,41.92,54.08,54.08,55.40,42.39,41.04,
[26/11/2018 01:30],42.79,41.92,54.08,54.08,55.40,42.39,41.04,
[26/11/2018 02:00],40.76,40.31,53.01,53.01,54.30,40.77,39.85,
[26/11/2018 02:30],40.76,40.31,53.01,53.01,54.30,40.77,39.85,
[26/11/2018 03:00],40.27,39.94,51.00,51.00,52.20,40.31,39.86,
[26/11/2018 03:30],40.27,39.94,51.00,51.00,52.20,40.31,39.86,
[26/11/2018 04:00],44.36,43.77,50.00,50.00,52.50,44.58,43.14,
[26/11/2018 04:30],44.36,43.77,50.00,50.00,52.50,44.58,43.14,
[26/11/2018 05:00],77.77,62.49,62.52,62.52,59.80,48.17,45.09,
[26/11/2018 05:30],77.77,62.49,62.52,62.52,59.80,48.17,45.09,
[26/11/2018 06:00],92.03,79.34,70.36,70.36,62.00,68.22,66.03,
[26/11/2018 06:30],92.03,79.34,70.36,70.36,62.00,68.22,66.03,
[26/11/2018 07:00],98.14,83.79,68.37,68.37,77.00,70.45,68.19,
[26/11/2018 07:30],98.14,83.79,68.37,68.37,77.00,70.45,68.19,
[26/11/2018 08:00],110.36,88.36,76.00,76.00,79.70,73.68,71.32,
[26/11/2018 08:30],110.36,88.36,76.00,76.00,79.70,73.68,71.32,
[26/11/2018 09:00],106.18,85.56,79.93,79.93,83.90,77.49,69.25,
[26/11/2018 09:30],106.18,85.56,79.93,79.93,83.90,77.49,69.25,
[26/11/2018 10:00],98.42,86.27,79.94,79.94,83.90,77.50,66.30,
[26/11/2018 10:30],98.42,86.27,79.94,79.94,83.90,77.50,66.30,
[26/11/2018 11:00],92.02,83.33,79.28,79.28,83.20,76.85,60.18,
[26/11/2018 11:30],92.02,83.33,79.28,79.28,83.20,76.85,60.18,
[26/11/2018 12:00],92.26,86.24,84.28,84.28,88.40,81.71,66.31,
[26/11/2018 12:30],92.26,86.24,84.28,84.28,88.40,81.71,66.31,
[26/11/2018 13:00],83.76,83.76,81.87,81.87,83.80,83.76,66.27,
[26/11/2018 13:30],83.76,83.76,81.87,81.87,83.80,83.76,66.27,
[26/11/2018 14:00],83.99,83.99,82.09,82.09,84.10,83.99,81.30,
[26/11/2018 14:30],83.99,83.99,82.09,82.09,84.10,83.99,81.30,
[26/11/2018 15:00],88.43,88.43,90.57,90.57,95.00,88.43,85.60,
[26/11/2018 15:30],88.43,88.43,90.57,90.57,95.00,88.43,85.60,
[26/11/2018 16:00],177.35,131.68,128.70,128.70,129.60,124.77,92.85,
[26/11/2018 16:30],177.35,131.68,128.70,128.70,129.60,124.77,92.85,
[26/11/2018 17:00],293.18,179.05,175.00,175.00,179.20,154.72,83.15,
[26/11/2018 17:30],293.18,179.05,175.00,175.00,179.20,154.72,83.15,
[26/11/2018 18:00],206.46,132.68,129.67,129.67,126.60,75.15,52.23,
[26/11/2018 18:30],206.46,132.68,129.67,129.67,126.60,75.15,52.23,
[26/11/2018 19:00],106.94,85.13,83.20,83.20,81.20,68.62,46.78,
[26/11/2018 19:30],106.94,85.13,83.20,83.20,81.20,68.62,46.78,
[26/11/2018 20:00],72.02,66.82,65.31,65.31,62.80,61.80,45.96,
[26/11/2018 20:30],72.02,66.82,65.31,65.31,62.80,61.80,45.96,
[26/11/2018 21:00],86.20,67.47,65.95,65.95,56.20,49.37,44.77,
[26/11/2018 21:30],86.20,67.47,65.95,65.95,56.20,49.37,44.77,
[26/11/2018 22:00],74.27,60.46,59.10,59.10,55.40,47.83,43.37,
[26/11/2018 22:30],74.27,60.46,59.10,59.10,55.40,47.83,43.37,
[26/11/2018 23:00],61.97,54.02,55.42,55.42,38.90,43.32,43.33,
[26/11/2018 23:30],61.97,54.02,55.42,55.42,38.90,43.32,43.33,
[27/11/2018 00:00],58.33,51.70,52.91,52.91,22.60,44.20,42.78,
[27/11/2018 00:30],58.33,51.70,52.91,52.91,22.60,44.20,42.78,
[27/11/2018 01:00],54.80,50.18,51.57,51.57,0.80,42.99,42.59,
[27/11/2018 01:30],54.80,50.18,51.57,51.57,0.80,42.99,42.59,
[27/11/2018 02:00],46.55,45.80,50.50,50.50,0.00,44.36,42.95,
[27/11/2018 02:30],46.55,45.80,50.50,50.50,0.00,44.36,42.95,
[27/11/2018 03:00],46.54,46.07,48.98,48.98,0.00,45.17,43.72,
[27/11/2018 03:30],46.54,46.07,48.98,48.98,0.00,45.17,43.72,
[27/11/2018 04:00],51.21,49.81,50.50,50.50,0.00,47.15,45.51,
[27/11/2018 04:30],51.21,49.81,50.50,50.50,0.00,47.15,45.51,
[27/11/2018 05:00],63.73,63.73,61.80,61.80,0.00,63.73,46.04,
[27/11/2018 05:30],63.73,63.73,61.80,61.80,0.00,63.73,46.04,
[27/11/2018 06:00],82.46,82.46,74.32,74.32,0.50,82.46,65.70,
[27/11/2018 06:30],82.46,82.46,74.32,74.32,0.50,82.46,65.70,
[27/11/2018 07:00],88.64,88.64,73.10,73.10,40.20,88.64,85.80,
[27/11/2018 07:30],88.64,88.64,73.10,73.10,40.20,88.64,85.80,
[27/11/2018 08:00],87.75,87.75,76.64,76.64,52.70,87.75,84.94,
[27/11/2018 08:30],87.75,87.75,76.64,76.64,52.70,87.75,84.94,
[27/11/2018 09:00],82.76,82.76,75.00,75.00,60.90,82.76,80.11,
[27/11/2018 09:30],82.76,82.76,75.00,75.00,60.90,82.76,80.11,
[27/11/2018 10:00],84.21,84.21,63.86,63.86,60.90,84.21,81.43,
[27/11/2018 10:30],84.21,84.21,63.86,63.86,60.90,84.21,81.43,
[27/11/2018 11:00],78.87,78.87,61.96,61.96,59.10,78.87,57.69,
[27/11/2018 11:30],78.87,78.87,61.96,61.96,59.10,78.87,57.69,
[27/11/2018 12:00],78.19,78.19,58.50,58.50,55.90,78.19,57.04,
[27/11/2018 12:30],78.19,78.19,58.50,58.50,55.90,78.19,57.04,
[27/11/2018 13:00],76.22,76.22,55.64,55.64,58.30,76.22,55.33,
[27/11/2018 13:30],76.22,76.22,55.64,55.64,58.30,76.22,55.33,
[27/11/2018 14:00],77.06,77.06,56.09,56.09,58.80,77.06,65.65,
[27/11/2018 14:30],77.06,77.06,56.09,56.09,58.80,77.06,65.65,
[27/11/2018 15:00],77.29,77.29,58.02,58.02,60.90,77.29,74.81,
[27/11/2018 15:30],77.29,77.29,58.02,58.02,60.90,77.29,74.81,
[27/11/2018 16:00],87.11,87.11,84.47,84.47,88.60,87.11,55.64,
[27/11/2018 16:30],87.11,87.11,84.47,84.47,88.60,87.11,55.64,
[27/11/2018 17:00],81.93,81.93,80.01,80.01,124.30,81.93,50.69,
[27/11/2018 17:30],81.93,81.93,80.01,80.01,124.30,81.93,50.69,
[27/11/2018 18:00],73.36,73.36,71.64,71.64,76.80,73.36,48.34,
[27/11/2018 18:30],73.36,73.36,71.64,71.64,76.80,73.36,48.34,
[27/11/2018 19:00],63.12,62.59,64.06,64.06,65.60,62.15,51.45,
[27/11/2018 19:30],63.12,62.59,64.06,64.06,65.60,62.15,51.45,
[27/11/2018 20:00],64.46,59.45,60.84,60.84,60.90,49.20,47.63,
[27/11/2018 20:30],64.46,59.45,60.84,60.84,60.90,49.20,47.63,
[27/11/2018 21:00],62.51,56.61,57.94,57.94,55.20,47.32,45.80,
[27/11/2018 21:30],62.51,56.61,57.94,57.94,55.20,47.32,45.80,
[27/11/2018 22:00],58.55,52.65,52.22,52.22,49.80,44.40,43.87,
[27/11/2018 22:30],58.55,52.65,52.22,52.22,49.80,44.40,43.87,
[27/11/2018 23:00],48.88,51.61,61.01,61.01,40.40,43.41,43.41,
[27/11/2018 23:30],48.88,51.61,61.01,61.01,40.40,43.41,43.41,
[28/11/2018 00:00],47.75,45.89,64.95,64.95,22.70,43.46,42.06,
[28/11/2018 00:30],47.75,45.89,64.95,64.95,22.70,43.46,42.06,
[28/11/2018 01:00],46.11,44.26,58.00,58.00,0.00,42.95,41.57,
[28/11/2018 01:30],46.11,44.26,58.00,58.00,0.00,42.95,41.57,
[28/11/2018 02:00],43.23,42.22,45.00,45.00,0.00,42.27,40.92,
[28/11/2018 02:30],43.23,42.22,45.00,45.00,0.00,42.27,40.92,
[28/11/2018 03:00],41.56,41.45,42.56,42.56,0.00,41.16,41.32,
[28/11/2018 03:30],41.56,41.45,42.56,42.56,0.00,41.16,41.32,
[28/11/2018 04:00],43.58,43.41,44.58,44.58,0.00,43.10,43.28,
[28/11/2018 04:30],43.58,43.41,44.58,44.58,0.00,43.10,43.28,
[28/11/2018 05:00],52.88,50.96,49.93,49.93,0.00,47.66,45.71,
[28/11/2018 05:30],52.88,50.96,49.93,49.93,0.00,47.66,45.71,
[28/11/2018 06:00],60.13,60.11,61.72,61.72,0.00,59.68,54.85,
[28/11/2018 06:30],60.13,60.11,61.72,61.72,0.00,59.68,54.85,
[28/11/2018 07:00],61.89,61.89,63.55,63.55,41.80,61.89,59.91,
[28/11/2018 07:30],61.89,61.89,63.55,63.55,41.80,61.89,59.91,
[28/11/2018 08:00],63.33,60.19,59.70,59.70,46.90,57.73,49.68,
[28/11/2018 08:30],63.33,60.19,59.70,59.70,46.90,57.73,49.68,
[28/11/2018 09:00],73.75,59.80,61.40,61.40,46.90,48.83,46.39,
[28/11/2018 09:30],73.75,59.80,61.40,61.40,46.90,48.83,46.39,
[28/11/2018 10:00],74.25,59.19,59.00,59.00,47.00,47.34,45.83,
[28/11/2018 10:30],74.25,59.19,59.00,59.00,47.00,47.34,45.83,
[28/11/2018 11:00],72.26,58.01,58.00,58.00,47.90,46.91,45.40,
[28/11/2018 11:30],72.26,58.01,58.00,58.00,47.90,46.91,45.40,
[28/11/2018 12:00],72.04,57.92,57.71,57.71,47.90,46.76,45.26,
[28/11/2018 12:30],72.04,57.92,57.71,57.71,47.90,46.76,45.26,
[28/11/2018 13:00],70.97,57.92,57.65,57.65,47.90,47.11,45.60,
[28/11/2018 13:30],70.97,57.92,57.65,57.65,47.90,47.11,45.60,
[28/11/2018 14:00],61.01,58.33,59.90,59.90,47.90,50.68,45.54,
[28/11/2018 14:30],61.01,58.33,59.90,59.90,47.90,50.68,45.54,
[28/11/2018 15:00],65.67,59.27,60.85,60.85,47.90,54.22,45.62,
[28/11/2018 15:30],65.67,59.27,60.85,60.85,47.90,54.22,45.62,
[28/11/2018 16:00],67.01,61.43,71.90,71.90,56.50,64.90,45.52,
[28/11/2018 16:30],67.01,61.43,71.90,71.90,56.50,64.90,45.52,
[28/11/2018 17:00],71.44,63.99,80.20,80.20,82.10,46.03,44.55,
[28/11/2018 17:30],71.44,63.99,80.20,80.20,82.10,46.03,44.55,
[28/11/2018 18:00],66.78,61.90,65.79,65.79,62.70,44.95,43.51,
[28/11/2018 18:30],66.78,61.90,65.79,65.79,62.70,44.95,43.51,
[28/11/2018 19:00],63.64,60.11,61.72,61.72,58.80,43.65,42.26,
[28/11/2018 19:30],63.64,60.11,61.72,61.72,58.80,43.65,42.26,
[28/11/2018 20:00],58.90,55.57,60.10,60.10,57.30,42.21,40.86,
[28/11/2018 20:30],58.90,55.57,60.10,60.10,57.30,42.21,40.86,
[28/11/2018 21:00],55.70,54.20,57.46,57.46,54.80,44.12,39.71,
[28/11/2018 21:30],55.70,54.20,57.46,57.46,54.80,44.12,39.71,
[28/11/2018 22:00],47.04,51.27,52.64,52.64,48.80,40.42,39.13,
[28/11/2018 22:30],47.04,51.27,52.64,52.64,48.80,40.42,39.13,
[28/11/2018 23:00],47.97,49.78,50.94,50.94,52.10,39.71,38.44,
[28/11/2018 23:30],47.97,49.78,50.94,50.94,52.10,39.71,38.44,
[29/11/2018 00:00],45.40,46.20,49.93,49.93,49.50,38.77,38.27,
[29/11/2018 00:30],45.40,46.20,49.93,49.93,49.50,38.77,38.27,
[29/11/2018 01:00],48.68,44.65,47.94,47.94,46.80,40.01,38.73,
[29/11/2018 01:30],48.68,44.65,47.94,47.94,46.80,40.01,38.73,
[29/11/2018 02:00],44.98,41.17,46.42,46.42,47.50,39.88,38.60,
[29/11/2018 02:30],44.98,41.17,46.42,46.42,47.50,39.88,38.60,
[29/11/2018 03:00],40.28,41.02,41.65,41.65,42.70,39.52,38.26,
[29/11/2018 03:30],40.28,41.02,41.65,41.65,42.70,39.52,38.26,
[29/11/2018 04:00],41.70,44.24,44.91,44.91,46.00,41.02,38.94,
[29/11/2018 04:30],41.70,44.24,44.91,44.91,46.00,41.02,38.94,
[29/11/2018 05:00],53.47,52.71,53.52,53.52,54.80,52.35,42.67,
[29/11/2018 05:30],53.47,52.71,53.52,53.52,54.80,52.35,42.67,
[29/11/2018 06:00],69.33,61.33,62.05,62.05,57.50,60.68,44.20,
[29/11/2018 06:30],69.33,61.33,62.05,62.05,57.50,60.68,44.20,
[29/11/2018 07:00],66.64,61.49,62.43,62.43,67.30,61.06,44.20,
[29/11/2018 07:30],66.64,61.49,62.43,62.43,67.30,61.06,44.20,
[29/11/2018 08:00],70.58,61.51,65.00,65.00,66.60,63.58,43.62,
[29/11/2018 08:30],70.58,61.51,65.00,65.00,66.60,63.58,43.62,
[29/11/2018 09:00],65.38,59.79,66.50,66.50,68.10,65.04,43.36,
[29/11/2018 09:30],65.38,59.79,66.50,66.50,68.10,65.04,43.36,
[29/11/2018 10:00],65.42,58.78,61.30,61.30,61.90,59.95,43.36,
[29/11/2018 10:30],65.42,58.78,61.30,61.30,61.90,59.95,43.36,
[29/11/2018 11:00],64.36,57.30,58.18,58.18,55.50,56.90,43.36,
[29/11/2018 11:30],64.36,57.30,58.18,58.18,55.50,56.90,43.36,
[29/11/2018 12:00],62.88,56.98,57.85,57.85,55.10,56.58,43.47,
[29/11/2018 12:30],62.88,56.98,57.85,57.85,55.10,56.58,43.47,
[29/11/2018 13:00],59.32,56.23,56.20,56.20,53.60,54.97,43.36,
[29/11/2018 13:30],59.32,56.23,56.20,56.20,53.60,54.97,43.36,
[29/11/2018 14:00],58.93,56.97,55.73,55.73,53.10,54.51,43.52,
[29/11/2018 14:30],58.93,56.97,55.73,55.73,53.10,54.51,43.52,
[29/11/2018 15:00],66.75,59.89,60.80,60.80,58.00,59.47,43.46,
[29/11/2018 15:30],66.75,59.89,60.80,60.80,58.00,59.47,43.46,
[29/11/2018 16:00],77.81,64.83,75.00,75.00,71.50,73.35,43.56,
[29/11/2018 16:30],77.81,64.83,75.00,75.00,71.50,73.35,43.56,
[29/11/2018 17:00],82.38,67.09,78.75,78.75,81.30,51.43,43.38,
[29/11/2018 17:30],82.38,67.09,78.75,78.75,81.30,51.43,43.38,
[29/11/2018 18:00],78.05,64.59,65.57,65.57,67.20,47.14,42.78,
[29/11/2018 18:30],78.05,64.59,65.57,65.57,67.20,47.14,42.78,
[29/11/2018 19:00],67.56,61.69,62.63,62.63,61.20,43.03,41.65,
[29/11/2018 19:30],67.56,61.69,62.63,62.63,61.20,43.03,41.65,
[29/11/2018 20:00],57.04,57.11,58.91,58.91,53.60,52.02,40.67,
[29/11/2018 20:30],57.04,57.11,58.91,58.91,53.60,52.02,40.67,
[29/11/2018 21:00],60.10,56.19,57.05,57.05,52.10,47.14,39.53,
[29/11/2018 21:30],60.10,56.19,57.05,57.05,52.10,47.14,39.53,
[29/11/2018 22:00],48.04,52.23,52.99,52.99,42.50,40.52,39.23,
[29/11/2018 22:30],48.04,52.23,52.99,52.99,42.50,40.52,39.23,
[29/11/2018 23:00],42.23,49.14,49.62,49.62,45.56,40.01,38.73,
[29/11/2018 23:30],42.23,49.14,49.62,49.62,45.56,40.01,38.73,
[30/11/2018 00:00],40.89,47.03,46.44,46.44,34.94,38.79,37.55,
[30/11/2018 00:30],40.89,47.03,46.44,46.44,34.94,38.79,37.55,
[30/11/2018 01:00],41.54,45.27,44.33,44.33,18.00,39.33,37.46,
[30/11/2018 01:30],41.54,45.27,44.33,44.33,18.00,39.33,37.46,
[30/11/2018 02:00],35.12,36.60,35.84,35.84,4.45,34.69,36.46,
[30/11/2018 02:30],35.12,36.60,35.84,35.84,4.45,34.69,36.46,
[30/11/2018 03:00],35.13,35.31,34.57,34.57,0.00,35.07,36.21,
[30/11/2018 03:30],35.13,35.31,34.57,34.57,0.00,35.07,36.21,
[30/11/2018 04:00],39.52,40.79,39.94,39.94,0.00,39.14,38.21,
[30/11/2018 04:30],39.52,40.79,39.94,39.94,0.00,39.14,38.21,
[30/11/2018 05:00],46.97,49.00,47.97,47.97,16.90,46.31,41.37,
[30/11/2018 05:30],46.97,49.00,47.97,47.97,16.90,46.31,41.37,
[30/11/2018 06:00],59.92,59.65,60.86,60.86,39.51,58.89,43.10,
[30/11/2018 06:30],59.92,59.65,60.86,60.86,39.51,58.89,43.10,
[30/11/2018 07:00],60.72,60.58,59.32,59.32,54.96,60.10,43.47,
[30/11/2018 07:30],60.72,60.58,59.32,59.32,54.96,60.10,43.47,
[30/11/2018 08:00],60.38,60.38,60.75,60.75,57.91,60.38,43.20,
[30/11/2018 08:30],60.38,60.38,60.75,60.75,57.91,60.38,43.20,
[30/11/2018 09:00],60.53,60.53,62.10,62.10,59.20,60.53,42.72,
[30/11/2018 09:30],60.53,60.53,62.10,62.10,59.20,60.53,42.72,
[30/11/2018 10:00],60.34,60.34,59.08,59.08,57.69,60.34,42.56,
[30/11/2018 10:30],60.34,60.34,59.08,59.08,57.69,60.34,42.56,
[30/11/2018 11:00],59.65,59.65,58.40,58.40,54.30,59.65,42.53,
[30/11/2018 11:30],59.65,59.65,58.40,58.40,54.30,59.65,42.53,
[30/11/2018 12:00],59.68,59.68,58.44,58.44,55.70,59.68,42.59,
[30/11/2018 12:30],59.68,59.68,58.44,58.44,55.70,59.68,42.59,
[30/11/2018 13:00],57.96,57.96,56.75,56.75,54.09,57.96,42.60,
[30/11/2018 13:30],57.96,57.96,56.75,56.75,54.09,57.96,42.60,
[30/11/2018 14:00],57.65,57.65,56.45,56.45,53.80,57.65,42.92,
[30/11/2018 14:30],57.65,57.65,56.45,56.45,53.80,57.65,42.92,
[30/11/2018 15:00],59.68,59.68,61.24,61.24,54.09,59.68,43.47,
[30/11/2018 15:30],59.68,59.68,61.24,61.24,54.09,59.68,43.47,
[30/11/2018 16:00],64.21,64.21,69.00,69.00,79.29,64.21,43.69,
[30/11/2018 16:30],64.21,64.21,69.00,69.00,79.29,64.21,43.69,
[30/11/2018 17:00],75.18,67.75,84.99,84.99,120.35,61.17,43.13,
[30/11/2018 17:30],75.18,67.75,84.99,84.99,120.35,61.17,43.13,
[30/11/2018 18:00],76.12,65.59,74.00,74.00,123.67,51.71,42.18,
[30/11/2018 18:30],76.12,65.59,74.00,74.00,123.67,51.71,42.18,
[30/11/2018 19:00],62.84,60.71,64.00,64.00,106.97,57.61,40.90,
[30/11/2018 19:30],62.84,60.71,64.00,64.00,106.97,57.61,40.90,
[30/11/2018 20:00],55.03,54.09,57.75,57.75,110.32,48.46,40.54,
[30/11/2018 20:30],55.03,54.09,57.75,57.75,110.32,48.46,40.54,
[30/11/2018 21:00],52.26,56.48,57.95,57.95,60.79,47.85,39.76,
[30/11/2018 21:30],52.26,56.48,57.95,57.95,60.79,47.85,39.76,
[30/11/2018 22:00],48.64,56.71,58.19,58.19,79.18,45.73,38.36,
[30/11/2018 22:30],48.64,56.71,58.19,58.19,79.18,45.73,38.36,
[30/11/2018 23:00],55.55,51.80,53.24,53.24,54.50,44.38,40.36,
[30/11/2018 23:30],55.55,51.80,53.24,53.24,54.50,44.38,40.36,
[01/12/2018 00:00],53.11,49.63,54.93,54.93,56.30,40.30,38.86,
[01/12/2018 00:30],53.11,49.63,54.93,54.93,56.30,40.30,38.86,
[01/12/2018 01:00],52.14,48.38,54.55,54.55,53.60,47.49,38.65,
[01/12/2018 01:30],52.14,48.38,54.55,54.55,53.60,47.49,38.65,
[01/12/2018 02:00],49.43,49.08,52.96,52.96,54.00,47.49,38.58,
[01/12/2018 02:30],49.43,49.08,52.96,52.96,54.00,47.49,38.58,
[01/12/2018 03:00],45.71,46.16,51.95,51.95,53.20,44.29,38.67,
[01/12/2018 03:30],45.71,46.16,51.95,51.95,53.20,44.29,38.67,
[01/12/2018 04:00],43.27,46.16,51.34,51.34,52.60,40.30,39.01,
[01/12/2018 04:30],43.27,46.16,51.34,51.34,52.60,40.30,39.01,
[01/12/2018 05:00],49.95,49.62,51.92,51.92,53.20,50.16,40.49,
[01/12/2018 05:30],49.95,49.62,51.92,51.92,53.20,50.16,40.49,
[01/12/2018 06:00],51.99,50.59,56.00,56.00,57.00,54.10,40.47,
[01/12/2018 06:30],51.99,50.59,56.00,56.00,57.00,54.10,40.47,
[01/12/2018 07:00],52.82,51.89,54.68,54.68,57.40,52.82,41.16,
[01/12/2018 07:30],52.82,51.89,54.68,54.68,57.40,52.82,41.16,
[01/12/2018 08:00],56.97,56.79,58.37,58.37,59.80,57.69,41.77,
[01/12/2018 08:30],56.97,56.79,58.37,58.37,59.80,57.69,41.77,
[01/12/2018 09:00],61.91,57.78,62.51,62.51,65.60,64.17,42.13,
[01/12/2018 09:30],61.91,57.78,62.51,62.51,65.60,64.17,42.13,
[01/12/2018 10:00],63.54,58.37,67.72,67.72,71.00,65.42,42.43,
[01/12/2018 10:30],63.54,58.37,67.72,67.72,71.00,65.42,42.43,
[01/12/2018 11:00],61.60,57.49,64.92,64.92,68.10,62.71,42.34,
[01/12/2018 11:30],61.60,57.49,64.92,64.92,68.10,62.71,42.34,
[01/12/2018 12:00],60.86,54.85,65.90,65.90,69.10,63.66,42.26,
[01/12/2018 12:30],60.86,54.85,65.90,65.90,69.10,63.66,42.26,
[01/12/2018 13:00],54.71,50.95,58.00,58.00,60.80,56.03,42.54,
[01/12/2018 13:30],54.71,50.95,58.00,58.00,60.80,56.03,42.54,
[01/12/2018 14:00],47.31,47.70,55.91,55.91,58.70,47.31,43.00,
[01/12/2018 14:30],47.31,47.70,55.91,55.91,58.70,47.31,43.00,
[01/12/2018 15:00],47.17,47.17,56.30,56.30,59.10,47.17,43.47,
