Date (WET),BELGIUM (BE),FRANCE (FR),GREAT BRITAIN (GB),GREAT BRITAIN (GB - NORDPOOL),ISEM (ISEM),NETHERLANDS (NL),NORWAY (NO2 - SDAC AUCTION),NORWAY (NO2 - NSL AUCTION)
,GBP/MWh,GBP/MWh,GBP/MWh,GBP/MWh,GBP/MWh,GBP/MWh,GBP/MWh,GBP/MWh
[21/10/2018 08:00],53.79,53.79,65.03,65.03,63.50,53.79,36.72,
[21/10/2018 08:30],53.79,53.79,65.03,65.03,63.50,53.79,36.72,
[21/10/2018 09:00],53.71,53.71,63.73,63.73,60.70,53.71,37.09,
[21/10/2018 09:30],53.71,53.71,63.73,63.73,60.70,53.71,37.09,
[21/10/2018 10:00],53.57,53.57,69.70,69.70,68.10,53.57,37.12,
[21/10/2018 10:30],53.57,53.57,69.70,69.70,68.10,53.57,37.12,
[21/10/2018 11:00],55.21,50.90,63.86,63.86,62.40,61.78,36.86,
[21/10/2018 11:30],55.21,50.90,63.86,63.86,62.40,61.78,36.86,
[21/10/2018 12:00],48.29,45.42,62.70,62.70,61.20,52.79,35.94,
[21/10/2018 12:30],48.29,45.42,62.70,62.70,61.20,52.79,35.94,
[21/10/2018 13:00],42.65,42.30,55.00,55.00,56.30,43.18,35.16,
[21/10/2018 13:30],42.65,42.30,55.00,55.00,56.30,43.18,35.16,
[21/10/2018 14:00],39.63,39.63,53.80,53.80,52.50,39.63,34.84,
[21/10/2018 14:30],39.63,39.63,53.80,53.80,52.50,39.63,34.84,
[21/10/2018 15:00],45.88,45.88,59.33,59.33,56.60,45.88,35.36,
[21/10/2018 15:30],45.88,45.88,59.33,59.33,56.60,45.88,35.36,
[21/10/2018 16:00],51.63,51.63,60.20,60.20,57.40,51.63,37.06,
[21/10/2018 16:30],51.63,51.63,60.20,60.20,57.40,51.63,37.06,
[21/10/2018 17:00],60.77,60.77,74.00,74.00,70.50,60.77,37.36,
[21/10/2018 17:30],60.77,60.77,74.00,74.00,70.50,60.77,37.36,
[21/10/2018 18:00],66.04,66.04,99.93,99.93,95.40,66.04,37.23,
[21/10/2018 18:30],66.04,66.04,99.93,99.93,95.40,66.04,37.23,
[21/10/2018 19:00],66.19,63.89,88.98,88.98,93.30,61.78,36.64,
[21/10/2018 19:30],66.19,63.89,88.98,88.98,93.30,61.78,36.64,
[21/10/2018 20:00],51.06,51.06,66.00,66.00,67.60,51.06,35.60,
[21/10/2018 20:30],51.06,51.06,66.00,66.00,67.60,51.06,35.60,
[21/10/2018 21:00],52.79,52.79,59.00,59.00,60.40,52.79,33.77,
[21/10/2018 21:30],52.79,52.79,59.00,59.00,60.40,52.79,33.77,
[21/10/2018 22:00],61.86,52.60,54.00,54.00,56.70,43.98,30.92,
[21/10/2018 22:30],61.86,52.60,54.00,54.00,56.70,43.98,30.92,
[21/10/2018 23:00],68.04,53.40,57.50,57.50,58.90,42.92,21.87,
[21/10/2018 23:30],68.04,53.40,57.50,57.50,58.90,42.92,21.87,
[22/10/2018 00:00],47.50,43.86,50.54,50.54,53.00,40.93,18.50,
[22/10/2018 00:30],47.50,43.86,50.54,50.54,53.00,40.93,18.50,
[22/10/2018 01:00],44.74,41.23,50.05,50.05,52.50,38.33,17.64,
[22/10/2018 01:30],44.74,41.23,50.05,50.05,52.50,38.33,17.64,
[22/10/2018 02:00],35.17,35.14,53.20,53.20,54.50,35.26,18.66,
[22/10/2018 02:30],35.17,35.14,53.20,53.20,54.50,35.26,18.66,
[22/10/2018 03:00],36.98,36.96,51.86,51.86,53.10,36.98,22.33,
[22/10/2018 03:30],36.98,36.96,51.86,51.86,53.10,36.98,22.33,
[22/10/2018 04:00],44.74,42.18,56.80,56.80,58.20,40.09,34.60,
[22/10/2018 04:30],44.74,42.18,56.80,56.80,58.20,40.09,34.60,
