Date (WET),Day Ahead Price EPEX,Day Ahead Price Nordpool,4H Intraday Price AVG,2H Intraday Price AVG,HH Intraday Price AVG,System Buy Price,System Sell Price
,GBP/MWh,GBP/MWh,GBP/MWh,GBP/MWh,GBP/MWh,GBP/MWh,GBP/MWh
[21/10/2018 00:00],66.77,66.77,60.00,54.96,50.86,77.50,77.50
[21/10/2018 00:30],66.77,66.77,60.00,54.96,50.73,77.50,77.50
[21/10/2018 01:00],68.02,68.02,52.96,54.50,53.53,77.50,77.50
[21/10/2018 01:30],68.02,68.02,52.96,54.50,54.35,77.50,77.50
[21/10/2018 02:00],60.88,60.88,52.96,54.50,54.84,77.50,77.50
[21/10/2018 02:30],60.88,60.88,52.96,54.50,50.53,77.50,77.50
[21/10/2018 03:00],53.80,53.80,52.96,48.75,50.19,48.05,48.05
[21/10/2018 03:30],53.80,53.80,52.96,48.75,49.94,45.45,45.45
[21/10/2018 04:00],49.91,49.91,52.96,48.75,46.79,43.19,43.19
[21/10/2018 04:30],49.91,49.91,52.96,48.75,46.86,42.39,42.39
[21/10/2018 05:00],50.07,50.07,68.75,52.09,45.98,45.00,45.00
[21/10/2018 05:30],50.07,50.07,68.75,52.09,47.48,43.89,43.89
[21/10/2018 06:00],54.00,54.00,68.75,52.09,55.41,45.00,45.00
[21/10/2018 06:30],54.00,54.00,68.75,52.09,66.74,77.50,77.50
[21/10/2018 07:00],54.30,54.30,68.75,84.81,73.05,77.50,77.50
[21/10/2018 07:30],54.30,54.30,68.75,84.81,81.82,77.50,77.50
[21/10/2018 08:00],65.03,65.03,68.75,84.81,86.96,77.50,77.50
[21/10/2018 08:30],65.03,65.03,68.75,84.81,92.40,50.36,50.36
[21/10/2018 09:00],63.73,63.73,65.70,75.85,83.28,48.61,48.61
[21/10/2018 09:30],63.73,63.73,65.70,75.85,74.56,48.50,48.50
[21/10/2018 10:00],69.70,69.70,65.70,75.85,57.23,47.15,47.15
[21/10/2018 10:30],69.70,69.70,65.70,75.85,51.54,48.71,48.71
[21/10/2018 11:00],63.86,63.86,65.70,53.92,58.49,49.09,49.09
[21/10/2018 11:30],63.86,63.86,65.70,53.92,58.80,46.23,46.23
[21/10/2018 12:00],62.70,62.70,65.70,53.92,55.65,46.15,46.15
[21/10/2018 12:30],62.70,62.70,65.70,53.92,49.16,46.10,46.10
