Date (WET),Static FFR Accepted Volume,Static FFR Max of average Accepted Price,Static FFR Min of average Accepted  Price,Static FFR Average Accepted  Price,LFS Accepted Volume,LFS Max of average Accepted Price,LFS Min of average Accepted  Price,LFS Average Accepted  Price
,MW,GBP/MW/h,GBP/MW/h,GBP/MW/h,MW,GBP/MW/h,GBP/MW/h,GBP/MW/h
[07/08/2020 02:00],39.0,1.53,1.53,1.53,97.0,5.40,5.40,5.40
[07/08/2020 02:30],39.0,1.53,1.53,1.53,97.0,5.40,5.40,5.40
[07/08/2020 03:00],56.0,1.55,1.55,1.55,98.0,5.40,5.40,5.40
[07/08/2020 03:30],56.0,1.55,1.55,1.55,98.0,5.40,5.40,5.40
[07/08/2020 04:00],56.0,1.55,1.55,1.55,98.0,5.40,5.40,5.40
[07/08/2020 04:30],56.0,1.55,1.55,1.55,98.0,5.40,5.40,5.40
[07/08/2020 05:00],56.0,1.55,1.55,1.55,98.0,5.40,5.40,5.40
[07/08/2020 05:30],56.0,1.55,1.55,1.55,98.0,5.40,5.40,5.40
[07/08/2020 06:00],56.0,1.55,1.55,1.55,98.0,5.40,5.40,5.40
[07/08/2020 06:30],56.0,1.55,1.55,1.55,98.0,5.40,5.40,5.40
[07/08/2020 07:00],179.0,2.35,2.35,2.35,84.0,3.35,3.35,3.35
[07/08/2020 07:30],179.0,2.35,2.35,2.35,84.0,3.35,3.35,3.35
[07/08/2020 08:00],179.0,2.35,2.35,2.35,84.0,3.35,3.35,3.35
[07/08/2020 08:30],179.0,2.35,2.35,2.35,84.0,3.35,3.35,3.35
[07/08/2020 09:00],179.0,2.35,2.35,2.35,84.0,3.35,3.35,3.35
[07/08/2020 09:30],179.0,2.35,2.35,2.35,84.0,3.35,3.35,3.35
[07/08/2020 10:00],179.0,2.35,2.35,2.35,84.0,3.35,3.35,3.35
[07/08/2020 10:30],179.0,2.35,2.35,2.35,84.0,3.35,3.35,3.35
[07/08/2020 11:00],189.0,2.35,2.35,2.35,81.0,3.35,3.35,3.35
[07/08/2020 11:30],189.0,2.35,2.35,2.35,81.0,3.35,3.35,3.35
[07/08/2020 12:00],189.0,2.35,2.35,2.35,81.0,3.35,3.35,3.35
[07/08/2020 12:30],189.0,2.35,2.35,2.35,81.0,3.35,3.35,3.35
[07/08/2020 13:00],189.0,2.35,2.35,2.35,81.0,3.35,3.35,3.35
[07/08/2020 13:30],189.0,2.35,2.35,2.35,81.0,3.35,3.35,3.35
[07/08/2020 14:00],189.0,2.35,2.35,2.35,81.0,3.35,3.35,3.35
[07/08/2020 14:30],189.0,2.35,2.35,2.35,81.0,3.35,3.35,3.35
[07/08/2020 15:00],147.0,2.24,2.24,2.24,76.0,3.35,3.35,3.35
[07/08/2020 15:30],147.0,2.24,2.24,2.24,76.0,3.35,3.35,3.35
[07/08/2020 16:00],147.0,2.24,2.24,2.24,76.0,3.35,3.35,3.35
[07/08/2020 16:30],147.0,2.24,2.24,2.24,76.0,3.35,3.35,3.35
[07/08/2020 17:00],147.0,2.24,2.24,2.24,76.0,3.35,3.35,3.35
[07/08/2020 17:30],147.0,2.24,2.24,2.24,76.0,3.35,3.35,3.35
[07/08/2020 18:00],147.0,2.24,2.24,2.24,76.0,3.35,3.35,3.35
[07/08/2020 18:30],147.0,2.24,2.24,2.24,76.0,3.35,3.35,3.35
[07/08/2020 19:00],147.0,2.25,2.25,2.25,90.0,3.35,3.35,3.35
[07/08/2020 19:30],147.0,2.25,2.25,2.25,90.0,3.35,3.35,3.35
[07/08/2020 20:00],147.0,2.25,2.25,2.25,90.0,3.35,3.35,3.35
[07/08/2020 20:30],147.0,2.25,2.25,2.25,90.0,3.35,3.35,3.35
[07/08/2020 21:00],147.0,2.25,2.25,2.25,90.0,3.35,3.35,3.35
[07/08/2020 21:30],147.0,2.25,2.25,2.25,90.0,3.35,3.35,3.35
[07/08/2020 22:00],147.0,2.25,2.25,2.25,90.0,3.35,3.35,3.35
[07/08/2020 22:30],147.0,2.25,2.25,2.25,90.0,3.35,3.35,3.35
[07/08/2020 23:00],39.0,1.53,1.53,1.53,97.0,5.40,5.40,5.40
[07/08/2020 23:30],39.0,1.53,1.53,1.53,97.0,5.40,5.40,5.40
[08/08/2020 00:00],16.0,1.00,1.00,1.00,100.0,5.40,5.40,5.40
[08/08/2020 00:30],16.0,1.00,1.00,1.00,100.0,5.40,5.40,5.40
[08/08/2020 01:00],16.0,1.00,1.00,1.00,100.0,5.40,5.40,5.40
[08/08/2020 01:30],16.0,1.00,1.00,1.00,100.0,5.40,5.40,5.40
[08/08/2020 02:00],16.0,1.00,1.00,1.00,100.0,5.40,5.40,5.40
[08/08/2020 02:30],16.0,1.00,1.00,1.00,100.0,5.40,5.40,5.40
[08/08/2020 03:00],33.0,1.30,1.30,1.30,100.0,5.39,5.39,5.39
[08/08/2020 03:30],33.0,1.30,1.30,1.30,100.0,5.39,5.39,5.39
[08/08/2020 04:00],33.0,1.30,1.30,1.30,100.0,5.39,5.39,5.39
[08/08/2020 04:30],33.0,1.30,1.30,1.30,100.0,5.39,5.39,5.39
[08/08/2020 05:00],33.0,1.30,1.30,1.30,100.0,5.39,5.39,5.39
[08/08/2020 05:30],33.0,1.30,1.30,1.30,100.0,5.39,5.39,5.39
[08/08/2020 06:00],33.0,1.30,1.30,1.30,100.0,5.39,5.39,5.39
[08/08/2020 06:30],33.0,1.30,1.30,1.30,100.0,5.39,5.39,5.39
[08/08/2020 07:00],176.0,2.33,2.33,2.33,72.0,3.38,3.38,3.38
[08/08/2020 07:30],176.0,2.33,2.33,2.33,72.0,3.38,3.38,3.38
[08/08/2020 08:00],176.0,2.33,2.33,2.33,72.0,3.38,3.38,3.38
[08/08/2020 08:30],176.0,2.33,2.33,2.33,72.0,3.38,3.38,3.38
[08/08/2020 09:00],176.0,2.33,2.33,2.33,72.0,3.38,3.38,3.38
[08/08/2020 09:30],176.0,2.33,2.33,2.33,72.0,3.38,3.38,3.38
[08/08/2020 10:00],176.0,2.33,2.33,2.33,72.0,3.38,3.38,3.38
[08/08/2020 10:30],176.0,2.33,2.33,2.33,72.0,3.38,3.38,3.38
[08/08/2020 11:00],186.0,2.33,2.33,2.33,74.0,3.42,3.42,3.42
[08/08/2020 11:30],186.0,2.33,2.33,2.33,74.0,3.42,3.42,3.42
[08/08/2020 12:00],186.0,2.33,2.33,2.33,74.0,3.42,3.42,3.42
[08/08/2020 12:30],186.0,2.33,2.33,2.33,74.0,3.42,3.42,3.42
[08/08/2020 13:00],186.0,2.33,2.33,2.33,74.0,3.42,3.42,3.42
[08/08/2020 13:30],186.0,2.33,2.33,2.33,74.0,3.42,3.42,3.42
[08/08/2020 14:00],186.0,2.33,2.33,2.33,74.0,3.42,3.42,3.42
[08/08/2020 14:30],186.0,2.33,2.33,2.33,74.0,3.42,3.42,3.42
[08/08/2020 15:00],147.0,2.24,2.24,2.24,70.0,3.35,3.35,3.35
[08/08/2020 15:30],147.0,2.24,2.24,2.24,70.0,3.35,3.35,3.35
[08/08/2020 16:00],147.0,2.24,2.24,2.24,70.0,3.35,3.35,3.35
[08/08/2020 16:30],147.0,2.24,2.24,2.24,70.0,3.35,3.35,3.35
[08/08/2020 17:00],147.0,2.24,2.24,2.24,70.0,3.35,3.35,3.35
[08/08/2020 17:30],147.0,2.24,2.24,2.24,70.0,3.35,3.35,3.35
[08/08/2020 18:00],147.0,2.24,2.24,2.24,70.0,3.35,3.35,3.35
[08/08/2020 18:30],147.0,2.24,2.24,2.24,70.0,3.35,3.35,3.35
[08/08/2020 19:00],147.0,2.25,2.25,2.25,69.0,3.35,3.35,3.35
[08/08/2020 19:30],147.0,2.25,2.25,2.25,69.0,3.35,3.35,3.35
[08/08/2020 20:00],147.0,2.25,2.25,2.25,69.0,3.35,3.35,3.35
[08/08/2020 20:30],147.0,2.25,2.25,2.25,69.0,3.35,3.35,3.35
[08/08/2020 21:00],147.0,2.25,2.25,2.25,69.0,3.35,3.35,3.35
[08/08/2020 21:30],147.0,2.25,2.25,2.25,69.0,3.35,3.35,3.35
[08/08/2020 22:00],147.0,2.25,2.25,2.25,69.0,3.35,3.35,3.35
[08/08/2020 22:30],147.0,2.25,2.25,2.25,69.0,3.35,3.35,3.35
[08/08/2020 23:00],16.0,1.00,1.00,1.00,100.0,5.40,5.40,5.40
[08/08/2020 23:30],16.0,1.00,1.00,1.00,100.0,5.40,5.40,5.40
[09/08/2020 00:00],16.0,1.00,1.00,1.00,100.0,5.40,5.40,5.40
[09/08/2020 00:30],16.0,1.00,1.00,1.00,100.0,5.40,5.40,5.40
[09/08/2020 01:00],16.0,1.00,1.00,1.00,100.0,5.40,5.40,5.40
[09/08/2020 01:30],16.0,1.00,1.00,1.00,100.0,5.40,5.40,5.40
[09/08/2020 02:00],16.0,1.00,1.00,1.00,100.0,5.40,5.40,5.40
[09/08/2020 02:30],16.0,1.00,1.00,1.00,100.0,5.40,5.40,5.40
[09/08/2020 03:00],33.0,1.30,1.30,1.30,99.0,5.40,5.40,5.40
[09/08/2020 03:30],33.0,1.30,1.30,1.30,99.0,5.40,5.40,5.40
[09/08/2020 04:00],33.0,1.30,1.30,1.30,99.0,5.40,5.40,5.40
[09/08/2020 04:30],33.0,1.30,1.30,1.30,99.0,5.40,5.40,5.40
[09/08/2020 05:00],33.0,1.30,1.30,1.30,99.0,5.40,5.40,5.40
[09/08/2020 05:30],33.0,1.30,1.30,1.30,99.0,5.40,5.40,5.40
[09/08/2020 06:00],33.0,1.30,1.30,1.30,99.0,5.40,5.40,5.40
[09/08/2020 06:30],33.0,1.30,1.30,1.30,99.0,5.40,5.40,5.40
[09/08/2020 07:00],176.0,2.33,2.33,2.33,72.0,3.37,3.37,3.37
[09/08/2020 07:30],176.0,2.33,2.33,2.33,72.0,3.37,3.37,3.37
[09/08/2020 08:00],176.0,2.33,2.33,2.33,72.0,3.37,3.37,3.37
[09/08/2020 08:30],176.0,2.33,2.33,2.33,72.0,3.37,3.37,3.37
[09/08/2020 09:00],176.0,2.33,2.33,2.33,72.0,3.37,3.37,3.37
[09/08/2020 09:30],176.0,2.33,2.33,2.33,72.0,3.37,3.37,3.37
[09/08/2020 10:00],176.0,2.33,2.33,2.33,72.0,3.37,3.37,3.37
[09/08/2020 10:30],176.0,2.33,2.33,2.33,72.0,3.37,3.37,3.37
[09/08/2020 11:00],186.0,2.33,2.33,2.33,73.0,3.41,3.41,3.41
[09/08/2020 11:30],186.0,2.33,2.33,2.33,73.0,3.41,3.41,3.41
[09/08/2020 12:00],186.0,2.33,2.33,2.33,73.0,3.41,3.41,3.41
[09/08/2020 12:30],186.0,2.33,2.33,2.33,73.0,3.41,3.41,3.41
[09/08/2020 13:00],186.0,2.33,2.33,2.33,73.0,3.41,3.41,3.41
[09/08/2020 13:30],186.0,2.33,2.33,2.33,73.0,3.41,3.41,3.41
[09/08/2020 14:00],186.0,2.33,2.33,2.33,73.0,3.41,3.41,3.41
[09/08/2020 14:30],186.0,2.33,2.33,2.33,73.0,3.41,3.41,3.41
[09/08/2020 15:00],147.0,2.24,2.24,2.24,69.0,3.43,3.43,3.43
[09/08/2020 15:30],147.0,2.24,2.24,2.24,69.0,3.43,3.43,3.43
[09/08/2020 16:00],147.0,2.24,2.24,2.24,69.0,3.43,3.43,3.43
[09/08/2020 16:30],147.0,2.24,2.24,2.24,69.0,3.43,3.43,3.43
[09/08/2020 17:00],147.0,2.24,2.24,2.24,69.0,3.43,3.43,3.43
[09/08/2020 17:30],147.0,2.24,2.24,2.24,69.0,3.43,3.43,3.43
[09/08/2020 18:00],147.0,2.24,2.24,2.24,69.0,3.43,3.43,3.43
[09/08/2020 18:30],147.0,2.24,2.24,2.24,69.0,3.43,3.43,3.43
[09/08/2020 19:00],147.0,2.25,2.25,2.25,74.0,3.38,3.38,3.38
[09/08/2020 19:30],147.0,2.25,2.25,2.25,74.0,3.38,3.38,3.38
[09/08/2020 20:00],147.0,2.25,2.25,2.25,74.0,3.38,3.38,3.38
[09/08/2020 20:30],147.0,2.25,2.25,2.25,74.0,3.38,3.38,3.38
[09/08/2020 21:00],147.0,2.25,2.25,2.25,74.0,3.38,3.38,3.38
[09/08/2020 21:30],147.0,2.25,2.25,2.25,74.0,3.38,3.38,3.38
[09/08/2020 22:00],147.0,2.25,2.25,2.25,74.0,3.38,3.38,3.38
[09/08/2020 22:30],147.0,2.25,2.25,2.25,74.0,3.38,3.38,3.38
[09/08/2020 23:00],16.0,1.00,1.00,1.00,100.0,5.40,5.40,5.40
[09/08/2020 23:30],16.0,1.00,1.00,1.00,100.0,5.40,5.40,5.40
[10/08/2020 00:00],39.0,1.53,1.53,1.53,100.0,5.39,5.39,5.39
[10/08/2020 00:30],39.0,1.53,1.53,1.53,100.0,5.39,5.39,5.39
[10/08/2020 01:00],39.0,1.53,1.53,1.53,100.0,5.39,5.39,5.39
[10/08/2020 01:30],39.0,1.53,1.53,1.53,100.0,5.39,5.39,5.39
[10/08/2020 02:00],39.0,1.53,1.53,1.53,100.0,5.39,5.39,5.39
[10/08/2020 02:30],39.0,1.53,1.53,1.53,100.0,5.39,5.39,5.39
[10/08/2020 03:00],56.0,1.55,1.55,1.55,99.0,5.40,5.40,5.40
[10/08/2020 03:30],56.0,1.55,1.55,1.55,99.0,5.40,5.40,5.40
[10/08/2020 04:00],56.0,1.55,1.55,1.55,99.0,5.40,5.40,5.40
[10/08/2020 04:30],56.0,1.55,1.55,1.55,99.0,5.40,5.40,5.40
[10/08/2020 05:00],56.0,1.55,1.55,1.55,99.0,5.40,5.40,5.40
[10/08/2020 05:30],56.0,1.55,1.55,1.55,99.0,5.40,5.40,5.40
[10/08/2020 06:00],56.0,1.55,1.55,1.55,99.0,5.40,5.40,5.40
[10/08/2020 06:30],56.0,1.55,1.55,1.55,99.0,5.40,5.40,5.40
[10/08/2020 07:00],179.0,2.35,2.35,2.35,81.0,3.35,3.35,3.35
[10/08/2020 07:30],179.0,2.35,2.35,2.35,81.0,3.35,3.35,3.35
[10/08/2020 08:00],179.0,2.35,2.35,2.35,81.0,3.35,3.35,3.35
[10/08/2020 08:30],179.0,2.35,2.35,2.35,81.0,3.35,3.35,3.35
[10/08/2020 09:00],179.0,2.35,2.35,2.35,81.0,3.35,3.35,3.35
[10/08/2020 09:30],179.0,2.35,2.35,2.35,81.0,3.35,3.35,3.35
[10/08/2020 10:00],179.0,2.35,2.35,2.35,81.0,3.35,3.35,3.35
[10/08/2020 10:30],179.0,2.35,2.35,2.35,81.0,3.35,3.35,3.35
[10/08/2020 11:00],189.0,2.35,2.35,2.35,81.0,3.38,3.38,3.38
[10/08/2020 11:30],189.0,2.35,2.35,2.35,81.0,3.38,3.38,3.38
[10/08/2020 12:00],189.0,2.35,2.35,2.35,81.0,3.38,3.38,3.38
[10/08/2020 12:30],189.0,2.35,2.35,2.35,81.0,3.38,3.38,3.38
[10/08/2020 13:00],189.0,2.35,2.35,2.35,81.0,3.38,3.38,3.38
[10/08/2020 13:30],189.0,2.35,2.35,2.35,81.0,3.38,3.38,3.38
[10/08/2020 14:00],189.0,2.35,2.35,2.35,81.0,3.38,3.38,3.38
[10/08/2020 14:30],189.0,2.35,2.35,2.35,81.0,3.38,3.38,3.38
[10/08/2020 15:00],147.0,2.24,2.24,2.24,73.0,3.38,3.38,3.38
[10/08/2020 15:30],147.0,2.24,2.24,2.24,73.0,3.38,3.38,3.38
[10/08/2020 16:00],147.0,2.24,2.24,2.24,73.0,3.38,3.38,3.38
[10/08/2020 16:30],147.0,2.24,2.24,2.24,73.0,3.38,3.38,3.38
[10/08/2020 17:00],147.0,2.24,2.24,2.24,73.0,3.38,3.38,3.38
[10/08/2020 17:30],147.0,2.24,2.24,2.24,73.0,3.38,3.38,3.38
[10/08/2020 18:00],147.0,2.24,2.24,2.24,73.0,3.38,3.38,3.38
[10/08/2020 18:30],147.0,2.24,2.24,2.24,73.0,3.38,3.38,3.38
[10/08/2020 19:00],147.0,2.25,2.25,2.25,75.0,3.37,3.37,3.37
[10/08/2020 19:30],147.0,2.25,2.25,2.25,75.0,3.37,3.37,3.37
[10/08/2020 20:00],147.0,2.25,2.25,2.25,75.0,3.37,3.37,3.37
[10/08/2020 20:30],147.0,2.25,2.25,2.25,75.0,3.37,3.37,3.37
[10/08/2020 21:00],147.0,2.25,2.25,2.25,75.0,3.37,3.37,3.37
[10/08/2020 21:30],147.0,2.25,2.25,2.25,75.0,3.37,3.37,3.37
[10/08/2020 22:00],147.0,2.25,2.25,2.25,75.0,3.37,3.37,3.37
[10/08/2020 22:30],147.0,2.25,2.25,2.25,75.0,3.37,3.37,3.37
[10/08/2020 23:00],39.0,1.53,1.53,1.53,100.0,5.39,5.39,5.39
[10/08/2020 23:30],39.0,1.53,1.53,1.53,100.0,5.39,5.39,5.39
[11/08/2020 00:00],39.0,1.53,1.53,1.53,100.0,5.35,5.35,5.35
[11/08/2020 00:30],39.0,1.53,1.53,1.53,100.0,5.35,5.35,5.35
[11/08/2020 01:00],39.0,1.53,1.53,1.53,100.0,5.35,5.35,5.35
[11/08/2020 01:30],39.0,1.53,1.53,1.53,100.0,5.35,5.35,5.35
[11/08/2020 02:00],39.0,1.53,1.53,1.53,100.0,5.35,5.35,5.35
[11/08/2020 02:30],39.0,1.53,1.53,1.53,100.0,5.35,5.35,5.35
[11/08/2020 03:00],56.0,1.55,1.55,1.55,98.0,5.40,5.40,5.40
[11/08/2020 03:30],56.0,1.55,1.55,1.55,98.0,5.40,5.40,5.40
[11/08/2020 04:00],56.0,1.55,1.55,1.55,98.0,5.40,5.40,5.40
[11/08/2020 04:30],56.0,1.55,1.55,1.55,98.0,5.40,5.40,5.40
[11/08/2020 05:00],56.0,1.55,1.55,1.55,98.0,5.40,5.40,5.40
[11/08/2020 05:30],56.0,1.55,1.55,1.55,98.0,5.40,5.40,5.40
[11/08/2020 06:00],56.0,1.55,1.55,1.55,98.0,5.40,5.40,5.40
[11/08/2020 06:30],56.0,1.55,1.55,1.55,98.0,5.40,5.40,5.40
[11/08/2020 07:00],179.0,2.35,2.35,2.35,80.0,3.43,3.43,3.43
[11/08/2020 07:30],179.0,2.35,2.35,2.35,80.0,3.43,3.43,3.43
[11/08/2020 08:00],179.0,2.35,2.35,2.35,80.0,3.43,3.43,3.43
[11/08/2020 08:30],179.0,2.35,2.35,2.35,80.0,3.43,3.43,3.43
[11/08/2020 09:00],179.0,2.35,2.35,2.35,80.0,3.43,3.43,3.43
[11/08/2020 09:30],179.0,2.35,2.35,2.35,80.0,3.43,3.43,3.43
[11/08/2020 10:00],179.0,2.35,2.35,2.35,80.0,3.43,3.43,3.43
[11/08/2020 10:30],179.0,2.35,2.35,2.35,80.0,3.43,3.43,3.43
[11/08/2020 11:00],189.0,2.35,2.35,2.35,78.0,3.44,3.44,3.44
[11/08/2020 11:30],189.0,2.35,2.35,2.35,78.0,3.44,3.44,3.44
[11/08/2020 12:00],189.0,2.35,2.35,2.35,78.0,3.44,3.44,3.44
[11/08/2020 12:30],189.0,2.35,2.35,2.35,78.0,3.44,3.44,3.44
[11/08/2020 13:00],189.0,2.35,2.35,2.35,78.0,3.44,3.44,3.44
[11/08/2020 13:30],189.0,2.35,2.35,2.35,78.0,3.44,3.44,3.44
[11/08/2020 14:00],189.0,2.35,2.35,2.35,78.0,3.44,3.44,3.44
[11/08/2020 14:30],189.0,2.35,2.35,2.35,78.0,3.44,3.44,3.44
[11/08/2020 15:00],147.0,2.24,2.24,2.24,89.0,3.41,3.41,3.41
[11/08/2020 15:30],147.0,2.24,2.24,2.24,89.0,3.41,3.41,3.41
[11/08/2020 16:00],147.0,2.24,2.24,2.24,89.0,3.41,3.41,3.41
[11/08/2020 16:30],147.0,2.24,2.24,2.24,89.0,3.41,3.41,3.41
[11/08/2020 17:00],147.0,2.24,2.24,2.24,89.0,3.41,3.41,3.41
[11/08/2020 17:30],147.0,2.24,2.24,2.24,89.0,3.41,3.41,3.41
[11/08/2020 18:00],147.0,2.24,2.24,2.24,89.0,3.41,3.41,3.41
[11/08/2020 18:30],147.0,2.24,2.24,2.24,89.0,3.41,3.41,3.41
[11/08/2020 19:00],147.0,2.25,2.25,2.25,94.0,3.43,3.43,3.43
[11/08/2020 19:30],147.0,2.25,2.25,2.25,94.0,3.43,3.43,3.43
[11/08/2020 20:00],147.0,2.25,2.25,2.25,94.0,3.43,3.43,3.43
[11/08/2020 20:30],147.0,2.25,2.25,2.25,94.0,3.43,3.43,3.43
[11/08/2020 21:00],147.0,2.25,2.25,2.25,94.0,3.43,3.43,3.43
[11/08/2020 21:30],147.0,2.25,2.25,2.25,94.0,3.43,3.43,3.43
[11/08/2020 22:00],147.0,2.25,2.25,2.25,94.0,3.43,3.43,3.43
[11/08/2020 22:30],147.0,2.25,2.25,2.25,94.0,3.43,3.43,3.43
[11/08/2020 23:00],39.0,1.53,1.53,1.53,100.0,5.35,5.35,5.35
[11/08/2020 23:30],39.0,1.53,1.53,1.53,100.0,5.35,5.35,5.35
[12/08/2020 00:00],39.0,1.53,1.53,1.53,100.0,5.39,5.39,5.39
[12/08/2020 00:30],39.0,1.53,1.53,1.53,100.0,5.39,5.39,5.39
[12/08/2020 01:00],39.0,1.53,1.53,1.53,100.0,5.39,5.39,5.39
[12/08/2020 01:30],39.0,1.53,1.53,1.53,100.0,5.39,5.39,5.39
[12/08/2020 02:00],39.0,1.53,1.53,1.53,100.0,5.39,5.39,5.39
[12/08/2020 02:30],39.0,1.53,1.53,1.53,100.0,5.39,5.39,5.39
[12/08/2020 03:00],56.0,1.55,1.55,1.55,99.0,5.40,5.40,5.40
[12/08/2020 03:30],56.0,1.55,1.55,1.55,99.0,5.40,5.40,5.40
[12/08/2020 04:00],56.0,1.55,1.55,1.55,99.0,5.40,5.40,5.40
[12/08/2020 04:30],56.0,1.55,1.55,1.55,99.0,5.40,5.40,5.40
[12/08/2020 05:00],56.0,1.55,1.55,1.55,99.0,5.40,5.40,5.40
[12/08/2020 05:30],56.0,1.55,1.55,1.55,99.0,5.40,5.40,5.40
[12/08/2020 06:00],56.0,1.55,1.55,1.55,99.0,5.40,5.40,5.40
[12/08/2020 06:30],56.0,1.55,1.55,1.55,99.0,5.40,5.40,5.40
[12/08/2020 07:00],179.0,2.35,2.35,2.35,92.0,3.39,3.39,3.39
[12/08/2020 07:30],179.0,2.35,2.35,2.35,92.0,3.39,3.39,3.39
[12/08/2020 08:00],179.0,2.35,2.35,2.35,92.0,3.39,3.39,3.39
[12/08/2020 08:30],179.0,2.35,2.35,2.35,92.0,3.39,3.39,3.39
[12/08/2020 09:00],179.0,2.35,2.35,2.35,92.0,3.39,3.39,3.39
[12/08/2020 09:30],179.0,2.35,2.35,2.35,92.0,3.39,3.39,3.39
[12/08/2020 10:00],179.0,2.35,2.35,2.35,92.0,3.39,3.39,3.39
[12/08/2020 10:30],179.0,2.35,2.35,2.35,92.0,3.39,3.39,3.39
[12/08/2020 11:00],189.0,2.35,2.35,2.35,92.0,3.39,3.39,3.39
[12/08/2020 11:30],189.0,2.35,2.35,2.35,92.0,3.39,3.39,3.39
[12/08/2020 12:00],189.0,2.35,2.35,2.35,92.0,3.39,3.39,3.39
[12/08/2020 12:30],189.0,2.35,2.35,2.35,92.0,3.39,3.39,3.39
[12/08/2020 13:00],189.0,2.35,2.35,2.35,92.0,3.39,3.39,3.39
[12/08/2020 13:30],189.0,2.35,2.35,2.35,92.0,3.39,3.39,3.39
[12/08/2020 14:00],189.0,2.35,2.35,2.35,92.0,3.39,3.39,3.39
[12/08/2020 14:30],189.0,2.35,2.35,2.35,92.0,3.39,3.39,3.39
[12/08/2020 15:00],147.0,2.24,2.24,2.24,82.0,3.38,3.38,3.38
[12/08/2020 15:30],147.0,2.24,2.24,2.24,82.0,3.38,3.38,3.38
[12/08/2020 16:00],147.0,2.24,2.24,2.24,82.0,3.38,3.38,3.38
[12/08/2020 16:30],147.0,2.24,2.24,2.24,82.0,3.38,3.38,3.38
[12/08/2020 17:00],147.0,2.24,2.24,2.24,82.0,3.38,3.38,3.38
[12/08/2020 17:30],147.0,2.24,2.24,2.24,82.0,3.38,3.38,3.38
[12/08/2020 18:00],147.0,2.24,2.24,2.24,82.0,3.38,3.38,3.38
[12/08/2020 18:30],147.0,2.24,2.24,2.24,82.0,3.38,3.38,3.38
[12/08/2020 19:00],147.0,2.25,2.25,2.25,94.0,3.43,3.43,3.43
[12/08/2020 19:30],147.0,2.25,2.25,2.25,94.0,3.43,3.43,3.43
[12/08/2020 20:00],147.0,2.25,2.25,2.25,94.0,3.43,3.43,3.43
[12/08/2020 20:30],147.0,2.25,2.25,2.25,94.0,3.43,3.43,3.43
[12/08/2020 21:00],147.0,2.25,2.25,2.25,94.0,3.43,3.43,3.43
[12/08/2020 21:30],147.0,2.25,2.25,2.25,94.0,3.43,3.43,3.43
[12/08/2020 22:00],147.0,2.25,2.25,2.25,94.0,3.43,3.43,3.43
[12/08/2020 22:30],147.0,2.25,2.25,2.25,94.0,3.43,3.43,3.43
[12/08/2020 23:00],39.0,1.53,1.53,1.53,100.0,5.39,5.39,5.39
[12/08/2020 23:30],39.0,1.53,1.53,1.53,100.0,5.39,5.39,5.39
[13/08/2020 00:00],39.0,1.53,1.53,1.53,100.0,5.30,5.30,5.30
[13/08/2020 00:30],39.0,1.53,1.53,1.53,100.0,5.30,5.30,5.30
[13/08/2020 01:00],39.0,1.53,1.53,1.53,100.0,5.30,5.30,5.30
[13/08/2020 01:30],39.0,1.53,1.53,1.53,100.0,5.30,5.30,5.30
[13/08/2020 02:00],39.0,1.53,1.53,1.53,100.0,5.30,5.30,5.30
[13/08/2020 02:30],39.0,1.53,1.53,1.53,100.0,5.30,5.30,5.30
[13/08/2020 03:00],56.0,1.55,1.55,1.55,99.0,5.40,5.40,5.40
[13/08/2020 03:30],56.0,1.55,1.55,1.55,99.0,5.40,5.40,5.40
[13/08/2020 04:00],56.0,1.55,1.55,1.55,99.0,5.40,5.40,5.40
[13/08/2020 04:30],56.0,1.55,1.55,1.55,99.0,5.40,5.40,5.40
[13/08/2020 05:00],56.0,1.55,1.55,1.55,99.0,5.40,5.40,5.40
[13/08/2020 05:30],56.0,1.55,1.55,1.55,99.0,5.40,5.40,5.40
[13/08/2020 06:00],56.0,1.55,1.55,1.55,99.0,5.40,5.40,5.40
[13/08/2020 06:30],56.0,1.55,1.55,1.55,99.0,5.40,5.40,5.40
[13/08/2020 07:00],179.0,2.35,2.35,2.35,96.0,3.44,3.44,3.44
[13/08/2020 07:30],179.0,2.35,2.35,2.35,96.0,3.44,3.44,3.44
[13/08/2020 08:00],179.0,2.35,2.35,2.35,96.0,3.44,3.44,3.44
[13/08/2020 08:30],179.0,2.35,2.35,2.35,96.0,3.44,3.44,3.44
[13/08/2020 09:00],179.0,2.35,2.35,2.35,96.0,3.44,3.44,3.44
[13/08/2020 09:30],179.0,2.35,2.35,2.35,96.0,3.44,3.44,3.44
[13/08/2020 10:00],179.0,2.35,2.35,2.35,96.0,3.44,3.44,3.44
[13/08/2020 10:30],179.0,2.35,2.35,2.35,96.0,3.44,3.44,3.44
[13/08/2020 11:00],189.0,2.35,2.35,2.35,100.0,3.38,3.38,3.38
[13/08/2020 11:30],189.0,2.35,2.35,2.35,100.0,3.38,3.38,3.38
[13/08/2020 12:00],189.0,2.35,2.35,2.35,100.0,3.38,3.38,3.38
[13/08/2020 12:30],189.0,2.35,2.35,2.35,100.0,3.38,3.38,3.38
[13/08/2020 13:00],189.0,2.35,2.35,2.35,100.0,3.38,3.38,3.38
[13/08/2020 13:30],189.0,2.35,2.35,2.35,100.0,3.38,3.38,3.38
[13/08/2020 14:00],189.0,2.35,2.35,2.35,100.0,3.38,3.38,3.38
[13/08/2020 14:30],189.0,2.35,2.35,2.35,100.0,3.38,3.38,3.38
