Date (WET),Capacity,Capacity Inferred (EnAppSys),Sheffield Solar Outturn (Max),Sheffield Solar Outturn,National Grid Forecast (Max),Sheffield Solar Upper Bound,Sheffield Solar Lower Bound,National Grid Forecast,Solar Forecast (EnAppSys),Solar D-1 Forecast (EnAppSys),Solar P10 Forecast (EnAppSys),Solar P90 Forecast (EnAppSys)
,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW
[19/10/2018 11:00],12960.0,11620.6,4330.0,4330.0,4360.0,4460.0,4190.0,4360.0,,,,
[19/10/2018 11:30],12960.0,11620.6,4850.0,4850.0,4890.0,4980.0,4710.0,4890.0,,,,
[19/10/2018 12:00],12960.0,11620.6,5330.0,5330.0,5380.0,5470.0,5190.0,5380.0,,,,
[19/10/2018 12:30],12960.0,11620.6,5620.0,5620.0,5660.0,5760.0,5480.0,5660.0,,,,
[19/10/2018 13:00],12960.0,11620.6,5510.0,5510.0,5560.0,5660.0,5360.0,5560.0,,,,
[19/10/2018 13:30],12960.0,11620.6,5200.0,5200.0,5240.0,5340.0,5060.0,5240.0,,,,
[19/10/2018 14:00],12960.0,11620.6,4670.0,4670.0,4720.0,4820.0,4530.0,4720.0,,,,
[19/10/2018 14:30],12960.0,11620.6,4080.0,4080.0,4130.0,4220.0,3940.0,4130.0,,,,
[19/10/2018 15:00],12960.0,11620.6,3620.0,3620.0,3660.0,3750.0,3500.0,3660.0,,,,
[19/10/2018 15:30],12960.0,11620.6,3040.0,3040.0,3070.0,3160.0,2930.0,3070.0,,,,
[19/10/2018 16:00],12960.0,11620.6,2240.0,2240.0,2260.0,2330.0,2140.0,2260.0,,,,
[19/10/2018 16:30],12960.0,11620.6,1450.0,1450.0,1470.0,1520.0,1380.0,1470.0,,,,
[19/10/2018 17:00],12960.0,11620.6,644.0,644.0,649.0,680.0,608.0,649.0,,,,
[19/10/2018 17:30],12960.0,11620.6,70.3,70.3,71.0,76.0,64.5,71.0,,,,
[19/10/2018 18:00],12960.0,11620.6,8.3,8.3,8.0,13.8,2.8,8.0,,,,
[19/10/2018 18:30],12960.0,11620.6,9.1,9.1,9.0,15.4,2.8,9.0,,,,
[19/10/2018 19:00],12960.0,11620.6,3.8,3.8,4.0,7.0,0.6,4.0,,,,
[19/10/2018 19:30],12960.0,11620.6,5.3,5.3,5.0,9.5,1.0,5.0,,,,
[19/10/2018 20:00],12960.0,11620.6,3.8,3.8,4.0,6.9,0.6,4.0,,,,
[19/10/2018 20:30],12960.0,11620.6,2.1,2.1,2.0,4.2,0.0,2.0,,,,
[19/10/2018 21:00],12960.0,11620.6,2.8,2.8,3.0,5.4,0.3,3.0,,,,
[19/10/2018 21:30],12960.0,11620.6,0.1,0.1,0.0,0.2,0.0,0.0,,,,
[19/10/2018 22:00],12960.0,11620.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,
