,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
[12-04],35361,31960,29284,40213,41504,37431,40509,29738,35730,35009,36122,37967,29406,27361,32247,28619,33880,31342,20658,30659
[13-04],31162,30102,29682,40738,39997,37189,36365,30398,36090,36558,36217,33701,27831,32829,33092,29964,34153,26976,20781,30804
[14-04],30148,34991,33885,41104,35440,32720,35520,34805,36790,36732,35706,30494,32369,31473,32428,27433,27990,27068,20448,30210
[15-04],35334,34675,34926,41097,34083,31394,40291,35138,36941,35450,32426,34624,33138,31857,32915,24112,27512,28639,23595,29952
[16-04],35438,34070,35396,36603,32041,36897,40900,35780,35849,31137,31672,34474,32554,32663,33746,25277,29343,31135,23072,29409
[17-04],35290,32927,35004,35118,33117,37313,40883,35528,31559,29667,36753,35383,32329,31833,29431,26997,28871,29317,22953,25710
[18-04],35368,28473,30795,40518,38299,37544,40466,31391,30627,34401,36648,34565,29430,27442,27880,29539,27966,27843,22941,25311
[19-04],34422,28610,31267,40893,39613,37418,40620,30467,36101,34515,37812,35404,28421,28345,32131,30409,28580,24833,23473,27760
[20-04],30068,27399,36004,41418,39955,37088,36717,35359,35845,34405,37656,31209,27840,32138,32119,30815,28048,23550,20671,28256
[21-04],28529,27938,36544,40379,38935,32594,35280,35668,36597,33593,36607,30716,28165,31671,31124,29843,25125,21504,20916,28059
[22-04],33701,32255,36632,39138,34158,31569,39828,35473,36697,29616,32770,34960,33254,31798,31586,26323,23817,22874,20827,27555
[23-04],33929,33308,35692,34917,33528,37331,39565,35270,35742,28615,31894,34442,33544,31985,32468,25340,27005,26845,21607,26320
[24-04],33771,34462,34310,33618,39243,37888,39538,34112,31128,26986,36987,34720,33531,31416,28162,29799,29898,28130,22770,23309
[25-04],33695,34258,29783,39824,39518,37224,39105,30399,30372,28110,37338,35066,34178,27687,28008,30158,28178,28255,22482,23394
[26-04],33919,30074,28370,40374,39250,37202,38315,29814,35048,32508,37941,34075,29043,27791,32134,31758,27653,27392,21321,27278
[27-04],30118,28847,33748,39837,38942,36248,33358,35832,35153,33182,36960,31104,29117,31905,32081,32289,32009,24876,21098,28897
[28-04],29134,35182,34676,39899,37850,31807,32861,36542,34653,33052,36372,30115,33738,31430,33609,31594,28933,25845,24002,28969
[29-04],34953,34967,35856,38096,33360,30978,37897,35603,35535,29731,32973,33908,33906,32023,33535,26895,27896,29754,26498,29636
[30-04],36333,34716,36570,33687,32562,36060,38798,35824,34335,28050,33056,34855,33606,32262,31319,24022,30799,29340,25309,28771
[01-05],35229,35038,35716,31606,33509,36356,39354,34521,30820,27116,35920,34518,34259,32198,28522,26456,29384,30012,24696,26008
[02-05],34864,35129,30671,32399,38558,36581,38529,30229,30046,28111,36630,34191,33573,28885,26513,30068,29575,29399,23779,24826
[03-05],33936,30140,28274,37774,38147,37083,37226,28499,31182,33389,36602,32833,29421,26887,26888,29898,29571,29943,21670,26113
[04-05],29226,27925,29377,38713,37836,36696,32367,30556,36136,34047,37382,28744,27589,27146,30298,28603,29145,24169,23361,27091
[05-05],27856,28293,35372,38839,36606,32055,31187,34929,36582,34281,36558,27649,28155,30743,29802,27429,23945,25381,23216,28808
[06-05],28957,33303,35861,37520,32826,30337,31915,35053,36152,33449,32702,28543,31748,31449,29498,26441,22594,26930,22628,29205
[07-05],34485,33750,35288,32967,32133,31577,35965,34779,35189,30065,31409,32492,32000,32198,29735,25148,23915,29752,22762,28112
[08-05],34723,33765,34360,32262,37802,36519,36126,33956,31785,28656,32351,32975,33773,32576,25571,29130,27576,30002,22723,25796
[09-05],34869,32968,31134,38445,37933,37776,35851,30467,31222,33253,35445,32702,31253,27657,23923,30677,27783,30362,21160,23639
[10-05],33657,29201,29782,39171,37442,37257,35713,29867,36108,33816,36373,32519,28368,26534,28499,29115,27157,29942,19996,25892
[11-05],28985,28163,34276,38981,37051,37091,31659,33861,36804,33951,35518,29276,27582,29366,30666,29121,26676,25915,20105,26976
[12-05],27661,33759,34768,38467,36346,32745,30514,34569,36870,33823,34318,28969,32662,29591,30480,29851,26153,24250,22304,27831
[13-05],34087,34615,34854,37672,32501,32639,35472,35558,36232,33402,30639,32261,33104,30922,28166,24780,24234,26892,23984,28419
[14-05],33934,34639,34464,33313,31648,37219,35492,35924,35334,29552,29114,34438,32390,32798,28003,23380,26843,26776,24162,28483
[15-05],33715,34170,33534,32001,37733,37854,35609,35468,30832,29064,34212,34706,32250,30869,25221,29053,27380,27103,23645,25664
[16-05],33188,34589,28998,38342,37729,38026,36343,30727,29951,33394,35366,34387,31164,25529,24930,28868,28108,26662,22981,24991
[17-05],32402,30251,27357,38807,37856,37678,36259,30371,34726,34446,35569,33785,27346,25677,29099,31373,27513,28244,21031,27870
[18-05],28506,28666,32727,38697,36847,35965,32489,34532,34968,34177,35713,30217,25877,30982,29452,29621,27556,25746,20226,27577
[19-05],26906,33847,33128,38778,36836,31808,30861,35281,34833,34215,34780,28740,31156,31190,30332,29484,23451,24768,21779,27212
[20-05],32730,34705,33338,37448,33210,30978,36126,35225,35000,33227,31258,33383,32095,31338,29845,25332,22316,27583,22898,27767
[21-05],33441,34664,33420,33098,32600,36333,36655,35101,34151,29293,30336,33738,31615,30530,28322,23705,27234,26780,22452,26782
[22-05],33201,34725,32677,31965,38000,36401,36328,34078,29624,27964,34220,33321,32315,30532,25532,27455,26010,26734,22495,25472
