Date (WET),DEMAND (INDO),DEMAND (ITSDO),DEMAND (NATIONAL GRID),DEMAND (ENTSOE),DEMAND FORECAST (ENTSOE),DEMAND FORECAST (NDF),DEMAND FORECAST (TSDF)
,MW,MW,MW,MW,MW,MW,MW
[07/08/2020 21:00],28666,29659,29078,30594,28899,28612,29606
[07/08/2020 21:30],28199,29190,28618,30594,28899,28335,29329
[07/08/2020 22:00],26992,28099,27411,27495,27354,27888,28973
[07/08/2020 22:30],25654,26683,26069,27495,27354,26527,27612
[07/08/2020 23:00],24363,24946,24818,27510,24516,25103,25603
[07/08/2020 23:30],23111,23624,23553,27510,24516,23930,24430
[08/08/2020 00:00],22200,22713,22653,26085,22681,23080,23580
[08/08/2020 00:30],21494,22010,21916,26085,22681,22237,22742
[08/08/2020 01:00],20931,21727,21371,24588,21695,21611,22398
[08/08/2020 01:30],20565,21357,20991,24588,21695,21150,21936
[08/08/2020 02:00],20192,20985,20640,23702,20672,20702,21488
[08/08/2020 02:30],19686,20480,20109,23702,20672,20192,20977
[08/08/2020 03:00],19448,20616,19893,22603,20209,19748,20922
[08/08/2020 03:30],19242,20446,19666,22603,20209,19499,20676
[08/08/2020 04:00],19175,20246,19597,21938,19923,19284,20352
[08/08/2020 04:30],19033,20106,19455,21938,19923,19184,20255
[08/08/2020 05:00],19174,20262,19610,22676,20034,19170,20225
[08/08/2020 05:30],19211,20167,19618,22676,20034,19245,20181
[08/08/2020 06:00],19990,20703,20392,24388,21601,20021,20681
[08/08/2020 06:30],20589,21261,20993,24388,21601,20600,21252
[08/08/2020 07:00],21480,22020,21869,26712,24105,21343,21843
[08/08/2020 07:30],22308,22821,22699,26712,24105,21983,22483
[08/08/2020 08:00],23139,23788,23540,29854,27036,22896,23396
[08/08/2020 08:30],23676,24193,24087,29854,27036,23430,23930
[08/08/2020 09:00],23903,24509,24322,31568,28836,23893,24483
[08/08/2020 09:30],23535,24226,23962,31568,28836,24055,24728
[08/08/2020 10:00],23463,24131,23892,32637,29764,24100,24753
[08/08/2020 10:30],23102,23743,23528,32637,29764,23070,23699
[08/08/2020 11:00],22845,23552,23267,33350,30526,22866,23564
[08/08/2020 11:30],22818,23560,23234,33350,30526,22783,23517
[08/08/2020 12:00],22785,23574,23207,33834,31044,22712,23504
[08/08/2020 12:30],22578,23390,23010,33834,31044,22701,23201
[08/08/2020 13:00],22020,22833,22441,32768,29991,22394,22900
[08/08/2020 13:30],21578,22391,22013,32768,29991,22315,22821
[08/08/2020 14:00],21392,22204,21813,31816,29168,22000,22500
[08/08/2020 14:30],21243,22056,21668,31816,29168,22024,22524
[08/08/2020 15:00],21466,22276,21878,31267,28815,22085,22585
[08/08/2020 15:30],21842,22652,22257,31267,28815,22340,22840
[08/08/2020 16:00],22598,23406,23007,31559,29242,23044,23544
[08/08/2020 16:30],23347,24161,23755,31559,29242,23851,24351
[08/08/2020 17:00],24249,25063,24672,32102,30062,24913,25413
[08/08/2020 17:30],25102,25918,25518,32102,30062,25646,26146
[08/08/2020 18:00],25625,26439,26024,32247,29535,26267,26767
[08/08/2020 18:30],26030,26827,26436,32247,29535,23792,24292
[08/08/2020 19:00],26183,26873,26595,31547,28239,24221,24721
[08/08/2020 19:30],26146,26765,26551,31547,28239,26000,26500
[08/08/2020 20:00],25868,26480,26307,29834,27069,26338,26838
[08/08/2020 20:30],25794,26406,26206,29834,27069,25810,26410
[08/08/2020 21:00],26167,26774,26590,29796,26967,25764,26364
[08/08/2020 21:30],25781,26366,26224,29796,26967,25810,26385
[08/08/2020 22:00],24956,25503,25402,28400,25535,25024,25556
[08/08/2020 22:30],23829,24343,24284,28400,25535,24228,24728
[08/08/2020 23:00],22730,23236,23185,26654,23141,23043,23543
[08/08/2020 23:30],21631,22136,22073,26654,23141,22100,22600
[09/08/2020 00:00],20622,21128,21079,24211,21042,21300,21800
[09/08/2020 00:30],19898,20409,20334,24211,21042,20521,21021
[09/08/2020 01:00],19425,20004,19861,22872,20061,19888,20493
[09/08/2020 01:30],18922,19864,19351,22872,20061,19400,20342
[09/08/2020 02:00],18590,19574,19020,21714,19216,18837,19832
[09/08/2020 02:30],18265,19349,18699,21714,19216,18480,19841
[09/08/2020 03:00],17932,19155,18356,20582,18688,18192,19460
[09/08/2020 03:30],17768,19003,18190,20582,18688,17937,19364
[09/08/2020 04:00],17779,18788,18202,20383,18240,17759,19033
[09/08/2020 04:30],17620,19102,18055,20383,18240,17661,19156
[09/08/2020 05:00],17701,19296,18121,20015,18089,17523,19144
[09/08/2020 05:30],17557,19244,17973,20015,18089,17300,18927
[09/08/2020 06:00],17874,19589,18288,20890,19346,17810,19545
[09/08/2020 06:30],18219,19968,18633,20890,19346,18291,19911
[09/08/2020 07:00],18997,20280,19407,23630,21268,18916,20348
[09/08/2020 07:30],19801,20743,20182,23630,21268,19323,20397
[09/08/2020 08:00],20671,21426,21065,26514,23987,19946,20725
[09/08/2020 08:30],21288,21927,21707,26514,23987,20500,21152
[09/08/2020 09:00],21874,22384,22296,28772,26687,21178,21678
[09/08/2020 09:30],21986,22496,22398,28772,26687,21571,22071
[09/08/2020 10:00],22195,22721,22612,30449,28504,22000,22514
[09/08/2020 10:30],22204,22748,22616,30449,28504,21981,22513
[09/08/2020 11:00],22300,22838,22722,31950,29638,21945,22473
[09/08/2020 11:30],21829,22438,22243,31950,29638,21822,22416
[09/08/2020 12:00],21809,22344,22241,32801,30507,22100,22620
[09/08/2020 12:30],21574,22157,21997,32801,30507,22001,22571
[09/08/2020 13:00],21296,21834,21723,32516,29864,21762,22292
[09/08/2020 13:30],20706,21330,21126,32516,29864,21524,22137
[09/08/2020 14:00],20498,21068,20920,31717,29172,21624,22182
[09/08/2020 14:30],20654,21387,21060,31717,29172,21500,22228
[09/08/2020 15:00],21085,21807,21481,31749,28905,21662,22372
[09/08/2020 15:30],21606,22324,21984,31749,28905,21895,22600
[09/08/2020 16:00],22392,23111,22781,32230,29541,22970,23675
[09/08/2020 16:30],23323,24032,23740,32230,29541,23966,24668
[09/08/2020 17:00],24656,25217,25066,33104,29733,25179,25729
[09/08/2020 17:30],25485,26048,25883,33104,29733,25846,26396
[09/08/2020 18:00],26165,26725,26575,32901,29211,26201,26751
[09/08/2020 18:30],26590,27151,27003,32901,29211,26421,26971
[09/08/2020 19:00],26911,27473,27319,32152,28163,26460,27010
[09/08/2020 19:30],26762,27324,27177,32152,28163,26210,26760
[09/08/2020 20:00],26827,27363,27236,31521,27558,26518,27018
[09/08/2020 20:30],26760,27269,27171,31521,27558,26396,26896
[09/08/2020 21:00],27364,27871,27801,31462,27096,26490,26990
[09/08/2020 21:30],26705,27215,27168,31462,27096,25988,26488
[09/08/2020 22:00],25727,26237,26161,29044,25342,25544,26044
[09/08/2020 22:30],24374,24884,24799,29044,25342,24262,24762
[09/08/2020 23:00],23144,23653,23600,26403,22623,22891,23391
[09/08/2020 23:30],21921,22430,22358,26403,22623,21800,22300
[10/08/2020 00:00],21229,21768,21664,24544,20978,20800,21300
[10/08/2020 00:30],20569,21356,20996,24544,20978,20154,20908
[10/08/2020 01:00],20207,21145,20633,23361,20556,19853,20789
[10/08/2020 01:30],19925,21117,20348,23361,20556,19700,20744
[10/08/2020 02:00],19655,20879,20084,22280,19949,19417,20686
[10/08/2020 02:30],19276,20630,19694,22280,19949,18965,20431
[10/08/2020 03:00],19121,20333,19541,21869,19673,18827,20040
[10/08/2020 03:30],19080,20292,19503,21869,19673,18758,19964
[10/08/2020 04:00],19132,20175,19550,21910,19602,18765,19803
[10/08/2020 04:30],19188,20509,19599,21910,19602,18700,19990
[10/08/2020 05:00],19617,20128,20018,21943,20877,19235,19735
[10/08/2020 05:30],20183,20698,20582,21943,20877,19772,20272
[10/08/2020 06:00],21812,22933,22179,24100,24423,21494,22737
[10/08/2020 06:30],23227,24448,23639,24100,24423,22884,24127
[10/08/2020 07:00],25005,26022,25417,27230,28119,24834,25899
[10/08/2020 07:30],26213,27164,26606,27230,28119,26220,27285
[10/08/2020 08:00],27613,28203,28034,32286,31092,27524,28113
[10/08/2020 08:30],28003,28725,28410,32286,31092,27800,28523
[10/08/2020 09:00],28416,29284,28833,34696,32276,28100,28973
[10/08/2020 09:30],28081,29057,28505,34696,32276,27657,28621
[10/08/2020 10:00],27818,28827,28225,34548,33091,27439,28432
[10/08/2020 10:30],27623,28639,28040,34548,33091,27207,28210
[10/08/2020 11:00],27469,28420,27879,35210,33842,27407,28341
[10/08/2020 11:30],27232,28178,27652,35210,33842,27390,28322
[10/08/2020 12:00],27498,28412,27913,36236,34704,27667,28568
[10/08/2020 12:30],27527,28503,27957,36236,34704,27544,28500
[10/08/2020 13:00],27400,28283,27831,35440,34600,27109,27979
[10/08/2020 13:30],27287,28220,27712,35440,34600,27000,27914
[10/08/2020 14:00],27293,28136,27713,35228,34126,27200,28031
[10/08/2020 14:30],27320,28206,27744,35228,34126,27517,28384
[10/08/2020 15:00],27439,28255,27862,34509,33530,27706,28509
[10/08/2020 15:30],27634,28396,28031,34509,33530,27883,28640
[10/08/2020 16:00],28407,29534,28794,35078,33651,28418,29541
[10/08/2020 16:30],29630,30648,30044,35078,33651,29420,30428
[10/08/2020 17:00],30426,31713,30830,36101,34500,30408,31692
[10/08/2020 17:30],30995,32307,31401,36101,34500,30955,32239
[10/08/2020 18:00],31395,32194,31798,36153,33818,30989,31775
[10/08/2020 18:30],31532,32282,31944,36153,33818,31000,31729
[10/08/2020 19:00],31138,31934,31558,34396,31848,30879,31665
[10/08/2020 19:30],30723,31522,31136,34396,31848,30652,31438
[10/08/2020 20:00],30295,31243,30724,32633,29972,30000,30944
[10/08/2020 20:30],30093,31047,30512,32633,29972,29685,30629
[10/08/2020 21:00],29822,31130,30224,31016,29361,30000,31310
[10/08/2020 21:30],28977,30298,29413,31016,29361,29512,30829
[10/08/2020 22:00],27907,29748,28334,27397,27365,28236,30148
[10/08/2020 22:30],26489,28424,26908,27397,27365,26809,28721
[10/08/2020 23:00],25129,25684,25573,26111,24456,25482,25983
[10/08/2020 23:30],23688,24205,24113,26111,24456,24100,24601
[11/08/2020 00:00],22670,23625,23099,23341,22593,23130,24071
[11/08/2020 00:30],22034,23437,22458,23341,22593,22508,23925
[11/08/2020 01:00],21603,23304,22021,22074,22061,21886,23583
[11/08/2020 01:30],21370,22944,21803,22074,22061,21700,23272
[11/08/2020 02:00],21210,22773,21627,22507,21512,21211,22760
[11/08/2020 02:30],20701,22511,21122,22507,21512,20818,22635
[11/08/2020 03:00],20452,22264,20864,21632,21327,20615,22433
[11/08/2020 03:30],20398,22204,20827,21632,21327,20300,22106
[11/08/2020 04:00],20437,21782,20868,20598,21430,20400,21715
[11/08/2020 04:30],20329,21795,20746,20598,21430,20574,21996
[11/08/2020 05:00],20814,22375,21231,20917,22643,20899,22543
[11/08/2020 05:30],21377,22786,21793,20917,22643,21316,22749
[11/08/2020 06:00],23090,24387,23461,23998,26197,23175,24463
[11/08/2020 06:30],24403,25696,24806,23998,26197,24930,26218
[11/08/2020 07:00],26035,26899,26434,27911,29692,26630,27487
[11/08/2020 07:30],27222,28084,27614,27911,29692,27735,28592
[11/08/2020 08:00],28760,29674,29168,32762,32234,28901,29834
[11/08/2020 08:30],29153,30368,29574,32762,32234,29400,30601
[11/08/2020 09:00],29562,30764,29979,35201,33147,29700,30879
[11/08/2020 09:30],29228,30480,29665,35201,33147,29246,30486
[11/08/2020 10:00],28897,30766,29326,35832,33646,28637,30511
[11/08/2020 10:30],28737,30598,29155,35832,33646,28300,30174
[11/08/2020 11:00],28460,29596,28883,36703,34639,28046,29135
[11/08/2020 11:30],28359,29443,28777,36703,34639,27948,29044
[11/08/2020 12:00],28483,29926,28912,37789,35342,27852,29295
[11/08/2020 12:30],28409,29855,28838,37789,35342,27750,29173
[11/08/2020 13:00],28119,29705,28550,37348,34841,27873,29452
[11/08/2020 13:30],27910,29497,28330,37348,34841,27850,29430
[11/08/2020 14:00],28002,29437,28418,36867,34508,28139,29569
[11/08/2020 14:30],28152,29602,28567,36867,34508,28149,29590
[11/08/2020 15:00],28624,29714,29015,37233,34057,28484,29558
[11/08/2020 15:30],28887,29926,29304,37233,34057,28695,29722
[11/08/2020 16:00],29359,30293,29767,37560,34953,29227,30138
[11/08/2020 16:30],30254,31120,30662,37560,34953,30091,30948
[11/08/2020 17:00],30929,31851,31343,37826,35415,30918,31830
[11/08/2020 17:30],31523,32428,31939,37826,35415,31283,32171
[11/08/2020 18:00],31714,32610,32124,36868,34372,31303,32195
[11/08/2020 18:30],31901,32708,32312,36868,34372,31467,32261
[11/08/2020 19:00],31799,32401,32222,35956,32973,31330,31919
[11/08/2020 19:30],31626,32136,32058,35956,32973,31044,31544
[11/08/2020 20:00],31052,31565,31494,34602,31574,30680,31180
[11/08/2020 20:30],30805,31318,31206,34602,31574,30801,31301
[11/08/2020 21:00],30734,31598,31179,33453,30947,30870,31752
[11/08/2020 21:30],29800,30676,30253,33453,30947,30464,31346
[11/08/2020 22:00],28602,29114,29050,30161,28464,29191,29691
[11/08/2020 22:30],27287,27795,27762,30161,28464,27769,28269
[11/08/2020 23:00],26154,26668,26596,27643,25260,26095,26600
[11/08/2020 23:30],24881,25633,25330,27643,25260,24400,25108
[12/08/2020 00:00],23688,24772,24145,24404,23482,24000,25059
[12/08/2020 00:30],22959,24650,23403,24404,23482,23295,24856
[12/08/2020 01:00],22373,24396,22807,22611,22586,22942,24970
[12/08/2020 01:30],21957,24015,22382,22611,22586,22660,24696
[12/08/2020 02:00],21480,23637,21908,22625,21926,22567,24731
[12/08/2020 02:30],21215,23362,21644,22625,21926,22113,24273
[12/08/2020 03:00],20910,23052,21345,21822,21638,21616,23772
[12/08/2020 03:30],20863,23003,21289,21822,21638,21765,23917
[12/08/2020 04:00],20918,23036,21338,21356,21813,22000,24105
[12/08/2020 04:30],20973,23069,21386,21356,21813,22053,24152
[12/08/2020 05:00],21351,23124,21776,21532,22533,22434,24138
[12/08/2020 05:30],21764,23269,22182,21532,22533,22892,24322
[12/08/2020 06:00],23375,24772,23742,25612,26110,24538,25932
[12/08/2020 06:30],24693,26062,25082,25612,26110,25799,27189
[12/08/2020 07:00],26551,27255,26972,31216,29615,27369,28052
[12/08/2020 07:30],27962,28539,28362,31216,29615,28442,28968
[12/08/2020 08:00],29345,29957,29713,35068,32141,29895,30510
[12/08/2020 08:30],29575,30256,29987,35068,32141,30150,30820
[12/08/2020 09:00],29659,30399,30049,36793,33797,29840,30571
[12/08/2020 09:30],29308,30133,29730,36793,33797,29616,30429
[12/08/2020 10:00],28891,29756,29303,37337,34603,29361,30217
[12/08/2020 10:30],28578,29526,29006,37337,34603,29931,30864
[12/08/2020 11:00],28596,29627,29010,38781,35288,29764,30788
[12/08/2020 11:30],28610,29648,29026,38781,35288,29613,30628
[12/08/2020 12:00],28382,29391,28805,38879,35836,29451,30454
[12/08/2020 12:30],28085,29118,28514,38879,35836,29243,30263
[12/08/2020 13:00],27887,28862,28303,38639,35681,28828,29793
[12/08/2020 13:30],27940,28918,28355,38639,35681,28500,29459
[12/08/2020 14:00],28100,28956,28507,38997,35236,28548,29383
[12/08/2020 14:30],28329,29142,28744,38997,35236,28670,29470
[12/08/2020 15:00],28791,29511,29210,38750,35086,29102,29804
[12/08/2020 15:30],29126,29815,29525,38750,35086,29354,30029
[12/08/2020 16:00],29667,30362,30065,38332,35509,29768,30443
[12/08/2020 16:30],30654,31343,31061,38332,35509,30653,31328
[12/08/2020 17:00],31391,32086,31796,38525,35420,31315,31990
[12/08/2020 17:30],31993,32623,32399,38525,35420,31888,32502
[12/08/2020 18:00],32178,32719,32595,38078,34171,32042,32545
[12/08/2020 18:30],32349,32860,32768,38078,34171,32200,32700
[12/08/2020 19:00],32173,32685,32606,37197,32674,32153,32653
[12/08/2020 19:30],31797,32313,32216,37197,32674,31734,32234
[12/08/2020 20:00],31247,31797,31661,35405,31507,31030,31575
[12/08/2020 20:30],31053,31613,31467,35405,31507,30940,31485
[12/08/2020 21:00],30491,31243,30911,34092,30820,30807,31547
[12/08/2020 21:30],29655,30408,30105,34092,30820,29783,30523
[12/08/2020 22:00],28387,29078,28832,30831,28324,28473,29150
[12/08/2020 22:30],27092,27783,27542,30831,28324,27101,27778
[12/08/2020 23:00],25437,26617,25913,27663,25391,25884,27068
[12/08/2020 23:30],24308,25599,24788,27663,25391,24540,25832
[13/08/2020 00:00],23146,24247,23602,24435,23453,23100,24166
[13/08/2020 00:30],22224,23782,22680,24435,23453,22240,23716
[13/08/2020 01:00],21656,23420,22098,22767,22554,21730,23448
[13/08/2020 01:30],21287,23185,21711,22767,22554,21780,23683
[13/08/2020 02:00],20847,22676,21282,22322,21907,21450,23276
[13/08/2020 02:30],20483,22508,20912,22322,21907,20966,22966
[13/08/2020 03:00],20324,22403,20743,21402,21571,20742,22842
[13/08/2020 03:30],20412,22414,20833,21402,21571,20645,22653
[13/08/2020 04:00],20256,23021,20674,20352,21607,20644,23466
[13/08/2020 04:30],20363,23411,20777,20352,21607,20640,23541
[13/08/2020 05:00],20815,23671,21223,20696,22788,21016,23906
[13/08/2020 05:30],21302,23960,21703,20696,22788,21547,24188
[13/08/2020 06:00],22824,24955,23211,23690,25962,23195,25259
[13/08/2020 06:30],24255,26306,24636,23690,25962,24633,26697
[13/08/2020 07:00],25949,27309,26324,27948,29563,26452,27732
[13/08/2020 07:30],27116,28405,27513,27948,29563,27628,28908
[13/08/2020 08:00],28637,29359,29007,32075,32498,29047,29757
[13/08/2020 08:30],29359,30241,29767,32075,32498,29400,30288
[13/08/2020 09:00],29823,31147,30242,34400,33830,29510,30841
[13/08/2020 09:30],29857,31296,30277,34400,33830,29380,30810
[13/08/2020 10:00],29852,31202,30273,35336,34442,29300,30629
[13/08/2020 10:30],29713,30941,30127,35336,34442,29300,30520
[13/08/2020 11:00],29614,30802,30030,36135,35027,29068,30249
[13/08/2020 11:30],29510,30751,29923,36135,35027,28758,29992
[13/08/2020 12:00],29813,31169,30213,37038,35687,29784,31134
[13/08/2020 12:30],29617,31035,30047,37038,35687,29813,31215
[13/08/2020 13:00],29665,31375,30055,36427,35448,29655,31367
[13/08/2020 13:30],29188,31002,29629,36427,35448,29490,31299
[13/08/2020 14:00],28878,30290,29280,35898,35188,29460,30867
[13/08/2020 14:30],28873,30344,29281,35898,35188,29275,30723
[13/08/2020 15:00],29047,30269,29465,35173,34946,29206,30417
[13/08/2020 15:30],29242,30440,29649,35173,34946,29160,30369
[13/08/2020 16:00],29562,30909,29962,35340,34756,29576,30915
[13/08/2020 16:30],30262,31564,30681,35340,34756,30448,31739
[13/08/2020 17:00],31006,32292,31416,35837,34396,30867,32146
[13/08/2020 17:30],31265,32543,31675,35837,34396,31040,32270
[13/08/2020 18:00],31201,32315,31608,34690,33373,31029,32133
[13/08/2020 18:30],31001,32058,31418,34690,33373,30921,31972
[13/08/2020 19:00],31029,31879,31447,34702,31916,30720,31558
[13/08/2020 19:30],30586,31428,31023,34702,31916,30467,31289
[13/08/2020 20:00],29842,30807,30279,32736,30951,29990,30946
[13/08/2020 20:30],29809,30662,30233,32736,30951,29790,30639
[13/08/2020 21:00],29645,30314,30073,32038,29877,29564,30229
[13/08/2020 21:30],28701,29456,29140,32038,29877,28820,29559
[13/08/2020 22:00],27321,28055,27764,28581,27340,27787,28508
[13/08/2020 22:30],25959,26769,26405,28581,27340,26427,27233
[13/08/2020 23:00],24393,25211,24844,25007,24865,25120,25941
[13/08/2020 23:30],22880,23975,23336,25007,24865,23720,24798
[14/08/2020 00:00],21781,22941,22218,21991,22956,22360,23516
[14/08/2020 00:30],21193,22347,21629,21991,22956,21752,22929
[14/08/2020 01:00],20939,22409,21363,20932,22045,21447,22873
[14/08/2020 01:30],20570,22042,21004,20932,22045,21060,22483
[14/08/2020 02:00],20098,21587,20531,19945,21252,20570,22063
[14/08/2020 02:30],19737,21275,20181,19945,21252,20244,21772
[14/08/2020 03:00],19585,21410,20003,19320,21106,19946,21764
[14/08/2020 03:30],19510,21339,19941,19320,21106,19835,21655
[14/08/2020 04:00],19422,21907,19840,18721,21422,19900,22391
[14/08/2020 04:30],19641,21921,20050,18721,21422,20235,22659
[14/08/2020 05:00],20235,22992,20659,19459,22447,20470,23205
[14/08/2020 05:30],20720,23359,21134,19459,22447,21066,23750
[14/08/2020 06:00],22342,24064,22696,23697,26062,22800,24480
[14/08/2020 06:30],23883,25551,24243,23697,26062,24595,26272
[14/08/2020 07:00],25920,27470,26262,29185,29921,26800,28344
[14/08/2020 07:30],27158,28753,27553,29185,29921,28085,29674
[14/08/2020 08:00],28517,29610,28920,32769,32286,29221,30295
[14/08/2020 08:30],29300,30605,29699,32769,32286,29800,31119
[14/08/2020 09:00],30038,31268,30444,35617,33450,30000,31225
[14/08/2020 09:30],30206,31526,30613,35617,33450,29850,31152
[14/08/2020 10:00],30579,31888,30996,36749,33756,29783,31072
[14/08/2020 10:30],30333,31654,30752,36749,33756,29466,30780
[14/08/2020 11:00],30379,31745,30783,37083,34072,28983,30335
[14/08/2020 11:30],30201,31568,30620,37083,34072,28962,30314
[14/08/2020 12:00],30351,31717,30769,37885,34826,29600,30952
[14/08/2020 12:30],30142,31488,30580,37885,34826,29318,30651
[14/08/2020 13:00],29668,31035,30100,36408,34213,29038,30388
[14/08/2020 13:30],29343,30642,29776,36408,34213,28714,29983
[14/08/2020 14:00],28980,30282,29405,35199,33416,28407,29718
[14/08/2020 14:30],28615,30083,29041,35199,33416,28188,29633
[14/08/2020 15:00],28775,30102,29187,35139,32929,28100,29415
[14/08/2020 15:30],28798,30114,29212,35139,32929,28383,29672
[14/08/2020 16:00],28881,30168,29294,34904,32983,28632,29902
[14/08/2020 16:30],29248,30511,29641,34904,32983,29210,30457
[14/08/2020 17:00],30020,31358,30413,35543,32559,29754,31071
[14/08/2020 17:30],30302,31645,30709,35543,32559,29933,31259
[14/08/2020 18:00],30215,31506,30640,34628,31731,29997,31262
[14/08/2020 18:30],30031,31224,30436,34628,31731,30300,31477
[14/08/2020 19:00],29885,30874,30316,33661,30481,29808,30792
[14/08/2020 19:30],29523,30623,29961,33661,30481,29470,30539
[14/08/2020 20:00],28848,29722,29283,31632,29569,29200,30059
[14/08/2020 20:30],28622,29547,29043,31632,29569,28270,29184
[14/08/2020 21:00],28149,29191,28605,30069,28641,27965,29004
[14/08/2020 21:30],27303,28471,27750,30069,28641,27524,28709
[14/08/2020 22:00],26717,27560,27166,29014,26469,26680,27513
[14/08/2020 22:30],25480,26527,25971,29014,26469,25397,26455
[14/08/2020 23:00],23968,25056,24464,26474,23931,24093,25363
[14/08/2020 23:30],22650,23491,23090,26474,23931,23030,23988
[15/08/2020 00:00],21732,22420,22164,25239,22054,21890,22695
[15/08/2020 00:30],21010,21620,21457,25239,22054,21139,21872
[15/08/2020 01:00],20409,21019,20841,23716,21310,20698,21431
[15/08/2020 01:30],19992,20609,20426,23716,21310,20430,21163
[15/08/2020 02:00],19611,20519,20054,22474,20535,19960,20994
[15/08/2020 02:30],19220,20478,19647,22474,20535,19522,20891
[15/08/2020 03:00],19018,20616,19445,21480,20106,19432,21167
[15/08/2020 03:30],18897,20508,19316,21480,20106,19472,21209
[15/08/2020 04:00],18833,20491,19253,21251,19960,19270,21265
[15/08/2020 04:30],18748,20609,19160,21251,19960,19060,21109
[15/08/2020 05:00],18928,20800,19337,21012,20178,18990,20986
[15/08/2020 05:30],19081,20744,19489,21012,20178,18960,20948
[15/08/2020 06:00],19859,21104,20261,22917,21838,20065,21402
[15/08/2020 06:30],20704,21750,21113,22917,21838,20768,21922
[15/08/2020 07:00],21829,22485,22230,26076,24252,21987,22720
[15/08/2020 07:30],22965,23648,23357,26076,24252,23034,23716
[15/08/2020 08:00],24430,25319,24817,29469,26844,24790,25691
[15/08/2020 08:30],25330,26441,25729,29469,26844,26000,26957
[15/08/2020 09:00],26030,27198,26426,31126,28363,26500,27533
[15/08/2020 09:30],26374,27620,26785,31126,28363,26473,27702
[15/08/2020 10:00],26735,27845,27138,32317,29117,26368,27379
[15/08/2020 10:30],26689,27812,27114,32317,29117,26184,27300
[15/08/2020 11:00],26579,27685,26992,32864,28931,25841,26937
[15/08/2020 11:30],26709,27797,27132,32864,28931,25779,27011
[15/08/2020 12:00],26750,27829,27181,33221,28808,26119,27343
[15/08/2020 12:30],26425,27697,26841,33221,28808,26200,27461
[15/08/2020 13:00],26091,27300,26513,32640,28249,25911,27121
[15/08/2020 13:30],25724,27053,26159,32640,28249,25361,26677
[15/08/2020 14:00],25495,26585,25928,32160,27682,25000,26228
[15/08/2020 14:30],25412,26510,25831,32160,27682,25022,26252
[15/08/2020 15:00],25524,26565,25946,31908,27901,25397,26423
[15/08/2020 15:30],25541,26573,25949,31908,27901,25352,26371
[15/08/2020 16:00],25991,27027,26394,32313,28629,25822,26844
[15/08/2020 16:30],26599,27632,26985,32313,28629,26623,27645
[15/08/2020 17:00],27720,28748,28118,33322,29086,27412,28431
[15/08/2020 17:30],28068,29098,28487,33322,29086,27776,28795
[15/08/2020 18:00],28083,29113,28499,32835,28926,27773,28792
[15/08/2020 18:30],27847,28879,28283,32835,28926,27800,28819
[15/08/2020 19:00],27800,28828,28220,32115,28208,27469,28488
[15/08/2020 19:30],27504,28539,27928,32115,28208,26879,27898
[15/08/2020 20:00],26999,28028,27443,31247,27269,26600,27612
[15/08/2020 20:30],27133,28091,27538,31247,27269,26344,27274
[15/08/2020 21:00],26878,27689,27308,30501,26638,26500,27281
[15/08/2020 21:30],26157,26818,26594,30501,26638,26107,26753
[15/08/2020 22:00],25297,25888,25747,28125,24697,25338,25926
[15/08/2020 22:30],24194,24821,24651,28125,24697,24669,25289
[15/08/2020 23:00],22990,23535,23440,26516,22367,23187,23718
[15/08/2020 23:30],22041,22574,22492,26516,22367,21560,22079
[16/08/2020 00:00],20944,21567,21398,24079,20933,20630,21255
[16/08/2020 00:30],20077,20819,20521,24079,20933,19599,20329
[16/08/2020 01:00],19716,20395,20148,22946,19851,19287,19957
[16/08/2020 01:30],19485,20176,19910,22946,19851,19180,19854
[16/08/2020 02:00],19124,20159,19572,21755,19117,18769,19797
[16/08/2020 02:30],18665,19997,19111,21755,19117,18416,19742
[16/08/2020 03:00],18369,19936,18797,20611,18542,18166,19788
[16/08/2020 03:30],18165,19909,18591,20611,18542,18057,19807
[16/08/2020 04:00],18051,19893,18456,20325,18593,17953,19815
[16/08/2020 04:30],17890,19847,18319,20325,18593,17837,19759
[16/08/2020 05:00],18053,19994,18477,20414,18860,17743,19748
[16/08/2020 05:30],18074,20226,18494,20414,18860,17720,19857
[16/08/2020 06:00],18386,20160,18792,21287,20118,18411,20142
[16/08/2020 06:30],18913,20336,19324,21287,20118,19027,20421
[16/08/2020 07:00],19696,20678,20128,23979,22149,19954,20966
[16/08/2020 07:30],20557,21249,20945,23979,22149,20741,21398
[16/08/2020 08:00],21795,22412,22182,27177,24532,21819,22409
[16/08/2020 08:30],22845,23504,23224,27177,24532,22560,23214
[16/08/2020 09:00],24076,24743,24461,30369,26803,23472,24131
[16/08/2020 09:30],24742,25561,25140,30369,26803,23918,24727
[16/08/2020 10:00],25310,26154,25715,32085,28518,24500,25340
[16/08/2020 10:30],25605,26481,26021,32085,28518,25037,25902
[16/08/2020 11:00],26009,26773,26428,33298,29886,25380,26134
[16/08/2020 11:30],26217,26935,26635,33298,29886,25565,26275
[16/08/2020 12:00],26732,27448,27151,34172,30559,25900,26610
[16/08/2020 12:30],26690,27412,27113,34172,30559,25623,26333
[16/08/2020 13:00],26488,27210,26889,33639,29781,26298,27008
[16/08/2020 13:30],26131,26865,26543,33639,29781,26129,26846
[16/08/2020 14:00],25826,26570,26260,33008,29097,25985,26718
[16/08/2020 14:30],25865,26578,26271,33008,29097,25800,26506
