Date (WET),DEMAND (INDO),DEMAND (ITSDO),DEMAND (NATIONAL GRID),DEMAND (ENTSOE),DEMAND FORECAST (ENTSOE),DEMAND FORECAST (NDF),DEMAND FORECAST (TSDF)
,MW,MW,MW,MW,MW,MW,MW
[24/10/2018 22:00],29511,30695,,32025,29473,29502,30651
[24/10/2018 22:30],27545,28668,,32025,29473,27559,28659
[24/10/2018 23:00],25654,27263,,27838,25903,25550,27111
[24/10/2018 23:30],24015,26371,,27838,25903,23800,26140
[25/10/2018 00:00],22962,25570,,24627,23876,22300,24890
[25/10/2018 00:30],22208,24802,,24627,23876,21700,24270
[25/10/2018 01:00],22213,24740,,24438,23792,21758,24267
[25/10/2018 01:30],22491,24972,,24438,23792,21900,24364
[25/10/2018 02:00],22579,24926,,24598,23279,21772,24102
[25/10/2018 02:30],22217,24543,,24598,23279,21415,23739
[25/10/2018 03:00],21902,24354,,23859,22672,21025,23479
[25/10/2018 03:30],21717,24125,,23859,22672,20825,23218
[25/10/2018 04:00],21636,24025,,23962,22747,20900,23267
[25/10/2018 04:30],21825,24074,,23962,22747,21200,23449
[25/10/2018 05:00],22576,24705,,24440,24806,21943,24009
[25/10/2018 05:30],23961,25802,,24440,24806,23284,25244
[25/10/2018 06:00],26776,28537,,29586,30504,26294,28052
[25/10/2018 06:30],29594,31034,,29586,30504,29007,30428
[25/10/2018 07:00],33143,35742,,34157,35688,32633,35193
[25/10/2018 07:30],34459,37338,,34157,35688,34586,37411
[25/10/2018 08:00],35929,37456,,37944,37184,35590,36993
[25/10/2018 08:30],35885,37361,,37944,37184,35565,37005
[25/10/2018 09:00],35691,37162,,38775,37695,35800,37240
[25/10/2018 09:30],35270,36733,,38775,37695,35486,36926
[25/10/2018 10:00],34422,36129,,38051,37307,34700,36385
[25/10/2018 10:30],33862,35568,,38051,37307,34300,35985
[25/10/2018 11:00],33710,35256,,38466,37251,33824,35352
[25/10/2018 11:30],33497,35020,,38466,37251,33293,34795
[25/10/2018 12:00],33533,35072,,38432,37482,32868,34396
[25/10/2018 12:30],33159,34698,,38432,37482,32784,34303
[25/10/2018 13:00],33126,35161,,37349,37185,32700,34890
[25/10/2018 13:30],33116,35093,,37349,37185,32761,34854
[25/10/2018 14:00],33404,35383,,36793,36495,32829,34976
[25/10/2018 14:30],33571,35473,,36793,36495,32852,34928
[25/10/2018 15:00],34198,35935,,36861,37067,33065,34769
[25/10/2018 15:30],34716,36441,,36861,37067,33733,35437
[25/10/2018 16:00],35750,36525,,39541,38524,34589,35334
[25/10/2018 16:30],36960,37732,,39541,38524,35895,36653
[25/10/2018 17:00],38139,39163,,42599,40186,37371,38378
[25/10/2018 17:30],39359,40273,,42599,40186,38600,39495
[25/10/2018 18:00],40528,41412,,44683,41025,40000,40865
[25/10/2018 18:30],40408,41293,,44683,41025,39942,40813
[25/10/2018 19:00],39515,40397,,42435,39402,39042,39908
[25/10/2018 19:30],38483,39349,,42435,39402,38068,38921
[25/10/2018 20:00],37184,37911,,38987,36463,36844,37547
[25/10/2018 20:30],35617,36225,,38987,36463,35340,35930
[25/10/2018 21:00],33791,34307,,35854,33106,33940,34440
[25/10/2018 21:30],31862,32377,,35854,33106,31973,32473
[25/10/2018 22:00],29761,30807,,31048,29257,30074,31100
[25/10/2018 22:30],27853,28904,,31048,29257,28088,29114
