Date (WET),Derated Margin,Derated Margin (HR M-2),Derated Margin (HR M-4),Derated Margin (HR M-8),Derated Margin (Noon 0),Derated Margin (Noon 1),System Sell Price (SSP),System Buy Price (SBP),STOR Window,LOLP (Noon 0),LOLP (Noon 1),LOLP (HR M-8),LOLP (HR M-4),LOLP (HR M-2),LOLP (Loss of Load Probability),NIV (Net Imbalance Volume),Non-BM STOR Generation
,MW,MW,MW,MW,MW,MW,GBP/MWh,GBP/MWh,,%,%,%,%,%,%,MW,MW
[05/01/2019 00:00],11696.38,11947.93,12120.19,12161.83,11569.63,10890.23,70.83,70.83,0.48,0.00,0.00,0.00,0.00,0.00,0.00,47.34,57.06
[06/01/2019 00:00],11770.31,12008.79,12140.57,12098.61,10424.31,8096.10,72.80,72.80,0.28,0.00,0.15,0.00,0.00,0.00,0.00,-134.70,17.88
[07/01/2019 00:00],16391.47,16786.11,17416.08,18250.80,16388.87,15926.79,50.24,50.24,0.48,0.00,0.00,0.00,0.00,0.00,0.00,-538.66,0.00
[08/01/2019 00:00],14868.05,14911.03,14851.03,15079.01,14858.90,15199.12,65.96,65.96,0.48,0.00,0.00,0.00,0.00,0.00,0.00,-174.80,91.90
[09/01/2019 00:00],11857.54,12183.96,12650.23,13279.03,11775.99,10168.38,51.92,51.92,0.48,0.00,0.01,0.00,0.00,0.00,0.00,-413.04,22.02
[10/01/2019 00:00],10213.02,10653.90,11168.40,11933.96,11853.77,11283.00,69.62,69.62,0.48,0.00,0.00,0.00,0.00,0.00,0.00,-37.96,43.26
[11/01/2019 00:00],13146.92,13544.65,13854.46,13856.18,14649.22,17009.88,57.77,57.77,0.48,0.00,0.00,0.00,0.00,0.00,0.00,-202.06,100.52
[12/01/2019 00:00],18484.25,18902.97,19504.01,20811.97,19481.99,19421.58,52.41,52.41,0.48,0.00,0.00,0.00,0.00,0.00,0.00,-295.42,54.72
[13/01/2019 00:00],18673.38,18720.51,18827.66,18902.96,19045.27,17512.31,45.04,45.04,0.28,0.00,0.00,0.00,0.00,0.00,0.00,-416.80,0.00
[14/01/2019 00:00],12597.04,12803.93,13027.53,13421.74,11644.50,12144.17,59.34,59.34,0.48,0.00,0.05,0.00,0.00,0.00,0.00,-210.42,40.30
[15/01/2019 00:00],16316.58,16544.14,16915.43,17485.99,17455.20,18071.04,56.47,56.47,0.48,0.00,0.00,0.00,0.00,0.00,0.00,-241.04,0.00
[16/01/2019 00:00],14050.19,14147.32,14224.45,14682.43,15468.01,16201.79,59.48,59.48,0.48,0.00,0.00,0.00,0.00,0.00,0.00,49.22,20.26
[17/01/2019 00:00],14284.57,14547.36,15005.21,15346.40,15440.31,13626.38,52.73,52.73,0.48,0.00,0.00,0.00,0.00,0.00,0.00,-398.06,7.72
[18/01/2019 00:00],12117.10,12309.78,12350.25,12529.91,11564.26,12309.07,55.13,55.13,0.48,0.00,0.00,0.00,0.00,0.00,0.00,-271.84,4.10
[19/01/2019 00:00],11347.28,11576.75,11737.43,11884.03,11516.23,11315.01,67.92,67.92,0.48,0.00,0.00,0.00,0.00,0.00,0.00,81.34,23.30
[20/01/2019 00:00],11776.58,12017.75,12324.02,12639.90,11058.75,11324.42,64.78,64.78,0.28,0.00,0.00,0.00,0.00,0.00,0.00,-297.48,17.96
[21/01/2019 00:00],11834.54,11952.79,11801.47,11565.64,11721.85,15146.82,57.92,57.92,0.48,0.00,0.00,0.00,0.00,0.00,0.00,-101.82,38.26
[22/01/2019 00:00],11680.84,11940.92,12206.55,12495.59,13184.64,14132.04,71.53,71.53,0.48,0.00,0.00,0.00,0.00,0.00,0.00,210.32,16.56
[23/01/2019 00:00],9781.62,10076.55,10388.59,10670.37,10280.42,10035.00,76.98,76.98,0.48,0.00,0.06,0.00,0.00,0.00,0.00,13.06,44.10
[24/01/2019 00:00],9139.89,9459.04,9784.97,10011.99,9534.51,9711.64,80.54,80.54,0.48,0.00,0.01,0.00,0.00,0.00,0.00,236.68,44.72
[25/01/2019 00:00],14356.92,14616.08,15033.62,15318.51,15786.09,17668.31,46.00,46.00,0.48,0.00,0.00,0.00,0.00,0.00,0.00,-750.14,0.00
[26/01/2019 00:00],15463.91,15647.86,15849.36,16489.60,17291.41,18856.81,50.48,50.48,0.48,0.00,0.00,0.00,0.00,0.00,0.00,-311.16,0.00
[27/01/2019 00:00],16350.26,16386.18,16497.89,16706.13,16405.78,16117.08,54.27,54.27,0.28,0.00,0.00,0.00,0.00,0.00,0.00,21.92,0.00
[28/01/2019 00:00],12743.60,13018.70,13252.28,13552.61,12901.58,13124.52,70.65,70.65,0.46,0.00,0.00,0.00,0.00,0.00,0.00,16.10,74.52
[29/01/2019 00:00],11084.16,11260.54,11556.16,11810.37,11514.42,12285.40,58.89,58.89,0.46,0.00,0.00,0.00,0.00,0.00,0.00,-151.80,0.00
[30/01/2019 00:00],10541.46,10783.44,11099.29,11827.82,10736.14,9187.43,53.68,53.68,0.46,0.00,0.10,0.00,0.00,0.00,0.00,-380.82,22.14
[31/01/2019 00:00],10466.83,10685.27,11133.98,11501.73,10668.91,12318.18,67.64,67.64,0.46,0.00,0.00,0.00,0.00,0.00,0.00,22.10,15.92
[01/02/2019 00:00],10772.67,10883.24,10986.36,10977.28,9893.85,10812.96,62.58,62.58,0.46,0.02,0.01,0.00,0.00,0.00,0.00,-78.62,19.04
[02/02/2019 00:00],11775.98,11970.99,12219.50,12828.35,12424.18,11411.93,57.19,57.19,0.46,0.00,0.00,0.00,0.00,0.00,0.00,-191.66,6.42
[03/02/2019 00:00],13384.58,13624.39,14063.10,14760.63,11738.15,8315.09,50.54,50.54,0.26,0.00,0.01,0.00,0.00,0.00,0.00,-536.06,0.00
[04/02/2019 00:00],11906.79,12089.21,12314.33,12746.50,13105.87,12544.09,50.48,50.48,0.46,0.00,0.00,0.00,0.00,0.00,0.00,-300.68,23.76
[05/02/2019 00:00],10343.68,10507.05,10559.47,10439.77,10279.78,12557.66,58.58,58.58,0.46,0.00,0.00,0.00,0.00,0.00,0.00,-46.62,41.18
[06/02/2019 00:00],13288.03,13378.44,13479.68,13764.62,12657.55,13533.67,47.89,47.89,0.46,0.00,0.00,0.00,0.00,0.00,0.00,-307.66,0.00
[07/02/2019 00:00],14086.85,14205.37,14501.82,14840.00,14265.45,14666.46,53.64,53.64,0.46,0.00,0.00,0.00,0.00,0.00,0.00,-189.86,0.00
[08/02/2019 00:00],18319.23,18443.58,18506.28,18838.71,18380.38,17192.46,46.27,46.27,0.46,0.00,0.00,0.00,0.00,0.00,0.00,-108.08,0.00
[09/02/2019 00:00],17471.46,17797.37,18077.50,18443.11,17856.35,18025.04,52.94,52.94,0.46,0.00,0.00,0.00,0.00,0.00,0.00,316.10,2.30
[10/02/2019 00:00],12852.23,12864.91,13173.69,13621.93,12510.36,13174.51,54.32,54.32,0.26,0.00,0.00,0.00,0.00,0.00,0.00,-250.26,43.90
[11/02/2019 00:00],9804.42,10152.95,10741.90,11040.43,10467.08,9667.69,52.77,52.77,0.46,0.00,0.06,0.00,0.00,0.00,0.00,-373.80,16.10
[12/02/2019 00:00],14662.45,14829.72,15205.76,16100.16,15963.48,16545.58,42.36,42.36,0.46,0.00,0.00,0.00,0.00,0.00,0.00,-354.90,24.64
[13/02/2019 00:00],15916.29,15965.08,16201.57,16697.58,17095.31,17652.52,41.98,41.98,0.46,0.00,0.00,0.00,0.00,0.00,0.00,-321.04,0.00
[14/02/2019 00:00],14233.96,14422.82,14719.85,15120.95,14929.34,14987.57,59.00,59.00,0.46,0.00,0.00,0.00,0.00,0.00,0.00,-1.78,81.96
[15/02/2019 00:00],17180.03,17183.99,17202.85,17125.98,16249.12,16998.20,48.81,48.81,0.46,0.00,0.00,0.00,0.00,0.00,0.00,-265.06,0.00
[16/02/2019 00:00],16894.04,17029.20,17121.21,17628.88,17470.72,17162.95,43.13,43.13,0.46,0.00,0.00,0.00,0.00,0.00,0.00,-256.28,0.00
[17/02/2019 00:00],19829.24,19802.26,19998.03,20139.84,20332.23,18792.48,45.12,45.12,0.26,0.00,0.00,0.00,0.00,0.00,0.00,-243.12,0.00
[18/02/2019 00:00],17647.31,17712.36,17956.35,18456.56,17595.40,16962.38,40.84,40.84,0.46,0.00,0.00,0.00,0.00,0.00,0.00,-367.26,0.10
[19/02/2019 00:00],15235.67,15313.54,15448.89,15774.23,15674.01,14976.40,37.94,37.94,0.46,0.00,0.00,0.00,0.00,0.00,0.00,-545.48,16.14
[20/02/2019 00:00],16901.55,17191.73,17629.45,18386.54,17574.88,18020.19,46.31,46.31,0.46,0.00,0.00,0.00,0.00,0.00,0.00,-147.04,15.60
[21/02/2019 00:00],14658.47,14859.99,15131.50,15873.43,14609.90,14964.45,47.44,47.44,0.46,0.00,0.00,0.00,0.00,0.00,0.00,-346.22,0.22
[22/02/2019 00:00],16257.17,16370.82,16622.94,17144.87,17307.11,18403.50,47.30,47.30,0.46,0.00,0.00,0.00,0.00,0.00,0.00,-391.14,32.80
[23/02/2019 00:00],18266.86,18447.71,18332.64,18657.59,19205.04,17396.19,45.92,45.92,0.46,0.00,0.00,0.00,0.00,0.00,0.00,-123.76,10.84
[24/02/2019 00:00],14452.59,14519.63,14746.94,15158.03,14616.15,14394.54,39.80,39.80,0.26,0.00,0.00,0.00,0.00,0.00,0.00,-450.90,24.84
[25/02/2019 00:00],12870.91,12891.46,12995.95,13007.91,11552.58,11885.15,45.88,45.88,0.46,0.00,0.00,0.00,0.00,0.00,0.00,-321.02,0.00
[26/02/2019 00:00],12217.54,12171.56,12114.66,12138.74,11415.31,10651.72,39.07,39.07,0.46,0.00,0.00,0.00,0.00,0.00,0.00,-495.26,6.84
[27/02/2019 00:00],12248.46,12347.80,12642.47,13099.01,11940.88,11281.06,50.33,50.33,0.46,0.00,0.00,0.00,0.00,0.00,0.00,-168.28,60.80
[28/02/2019 00:00],10576.42,10732.05,10930.93,10866.22,9645.94,9822.60,52.57,52.57,0.46,0.00,0.00,0.00,0.00,0.00,0.00,-331.84,7.88
[01/03/2019 00:00],10584.72,10696.65,10854.40,11107.04,10094.92,9566.31,48.69,48.69,0.46,0.00,0.00,0.00,0.00,0.00,0.00,-265.72,29.06
[02/03/2019 00:00],16977.77,17154.33,17511.96,18399.85,18030.05,19666.19,46.46,46.46,0.46,0.00,0.00,0.00,0.00,0.00,0.00,-201.88,0.00
[03/03/2019 00:00],15963.59,16126.96,16353.81,16960.72,16755.45,16264.09,38.97,38.97,0.26,0.00,0.00,0.00,0.00,0.00,0.00,-309.24,16.14
[04/03/2019 00:00],16053.37,16120.70,16368.34,16775.74,16618.37,16272.54,39.06,39.06,0.46,0.00,0.00,0.00,0.00,0.00,0.00,-449.68,0.30
[05/03/2019 00:00],13567.85,13596.99,13767.80,14263.79,14416.71,13699.93,53.48,53.48,0.46,0.00,0.00,0.00,0.00,0.00,0.00,140.16,14.10
[06/03/2019 00:00],16509.68,16638.77,16763.20,17243.11,16026.46,15875.15,46.71,46.71,0.46,0.00,0.00,0.00,0.00,0.00,0.00,-149.82,23.42
[07/03/2019 00:00],19833.83,19715.82,19736.83,20262.81,19724.58,18683.02,46.82,46.82,0.46,0.00,0.00,0.00,0.00,0.00,0.00,-107.40,46.26
[08/03/2019 00:00],16240.97,16465.59,16831.60,17222.45,16979.67,17307.66,49.73,49.73,0.46,0.00,0.00,0.00,0.00,0.00,0.00,135.54,93.50
[09/03/2019 00:00],20736.36,20708.68,21112.92,21750.91,21477.35,20521.20,40.60,40.60,0.46,0.00,0.00,0.00,0.00,0.00,0.00,10.98,0.00
[10/03/2019 00:00],16624.94,16785.58,17164.96,18044.90,18356.01,17849.12,52.24,52.24,0.26,0.00,0.00,0.00,0.00,0.00,0.00,710.12,0.00
[11/03/2019 00:00],16942.21,17005.41,17200.00,17529.31,17769.11,17405.68,46.08,46.08,0.46,0.00,0.00,0.00,0.00,0.00,0.00,105.18,15.34
[12/03/2019 00:00],16203.08,16400.55,16753.74,17049.56,17060.34,17673.96,48.89,48.89,0.46,0.00,0.00,0.00,0.00,0.00,0.00,162.44,61.76
[13/03/2019 00:00],16868.06,17022.57,17456.28,18102.10,17448.32,16918.20,46.47,46.47,0.46,0.00,0.00,0.00,0.00,0.00,0.00,76.52,81.30
[14/03/2019 00:00],16692.24,16716.87,17461.78,18261.20,17215.37,16989.76,48.83,48.83,0.46,0.00,0.00,0.00,0.00,0.00,0.00,181.12,0.18
[15/03/2019 00:00],17035.43,17005.02,17379.30,18293.36,17932.98,17217.23,39.61,39.61,0.46,0.00,0.00,0.00,0.00,0.00,0.00,-266.98,0.00
[16/03/2019 00:00],15124.10,15168.73,15137.34,15480.53,15009.67,14885.19,55.30,55.30,0.46,0.00,0.00,0.00,0.00,0.00,0.00,204.48,73.06
[17/03/2019 00:00],17507.78,17570.38,17917.18,18587.30,18271.90,17014.20,44.57,44.57,0.26,0.00,0.00,0.00,0.00,0.00,0.00,76.72,0.00
[18/03/2019 00:00],10835.83,11093.61,11331.24,11481.17,11110.28,9601.30,58.77,58.77,0.46,0.00,0.00,0.00,0.00,0.00,0.00,88.12,97.42
[19/03/2019 00:00],13386.00,13583.20,13881.95,14170.35,12194.13,11916.38,34.74,34.74,0.46,0.00,0.00,0.00,0.00,0.00,0.00,-439.12,12.10
[20/03/2019 00:00],14321.59,14740.45,14727.30,15015.24,14528.68,14713.28,39.77,39.77,0.46,0.00,0.00,0.00,0.00,0.00,0.00,-126.52,0.00
[21/03/2019 00:00],13139.44,13363.57,13659.17,14010.64,13893.14,14490.57,47.44,47.44,0.46,0.00,0.00,0.00,0.00,0.00,0.00,6.48,9.54
[22/03/2019 00:00],17485.17,17675.78,18076.52,18662.07,17998.27,17466.28,44.54,44.54,0.46,0.00,0.00,0.00,0.00,0.00,0.00,-157.12,25.38
[23/03/2019 00:00],14344.65,14511.33,14743.80,15411.47,15766.14,15200.78,40.16,40.16,0.46,0.00,0.00,0.00,0.00,0.00,0.00,-389.82,103.64
[24/03/2019 00:00],18398.98,18166.89,18194.18,18249.85,17828.36,16580.26,5.88,5.88,0.26,0.00,0.00,0.00,0.00,0.00,0.00,-969.32,0.00
[25/03/2019 00:00],15650.54,15737.19,16002.84,16467.99,15192.93,13164.57,31.56,31.56,0.46,0.00,0.00,0.00,0.00,0.00,0.00,-545.26,0.00
[26/03/2019 00:00],13581.29,13645.82,13791.90,14201.80,13479.22,13032.05,34.95,34.95,0.46,0.00,0.00,0.00,0.00,0.00,0.00,-407.84,6.04
[27/03/2019 00:00],12718.49,12836.17,13081.12,13437.28,12605.16,12422.79,44.41,44.41,0.46,0.00,0.00,0.00,0.00,0.00,0.00,-80.94,35.72
[28/03/2019 00:00],12182.17,12386.93,12847.18,13422.40,13343.93,13566.90,45.53,45.53,0.46,0.00,0.00,0.00,0.00,0.00,0.00,39.20,13.34
[29/03/2019 00:00],14096.95,14070.68,14155.69,14535.40,14644.10,14077.24,36.86,36.86,0.46,0.00,0.00,0.00,0.00,0.00,0.00,-501.70,9.22
[30/03/2019 00:00],14481.20,14532.52,14669.24,15015.47,14503.92,14552.89,43.11,43.11,0.46,0.00,0.00,0.00,0.00,0.00,0.00,-0.64,79.84
[31/03/2019 00:00],16585.57,16509.40,16593.31,17111.36,16270.91,14843.07,47.84,47.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,712.08,0.00
[01/04/2019 00:00],13157.64,13174.36,13258.31,13461.73,13002.95,12303.71,41.26,41.26,0.40,0.00,0.00,0.00,0.00,0.00,0.00,-123.92,4.80
[02/04/2019 00:00],10038.43,9966.86,9739.22,9410.77,9416.05,9409.73,36.92,36.92,0.40,0.00,0.00,0.00,0.00,0.00,0.00,-290.66,24.22
[03/04/2019 00:00],11040.74,11160.76,11351.81,11974.40,11594.28,12072.51,49.93,49.93,0.40,0.00,0.00,0.00,0.00,0.00,0.00,232.44,23.76
[04/04/2019 00:00],12144.51,12263.92,12378.08,12309.09,12008.77,11789.59,47.11,47.11,0.40,0.00,0.00,0.00,0.00,0.00,0.00,226.08,24.26
[05/04/2019 00:00],12313.64,12344.48,12577.68,12748.71,12602.77,12962.68,48.46,48.46,0.40,0.00,0.00,0.00,0.00,0.00,0.00,170.20,36.18
[06/04/2019 00:00],10945.19,10953.96,10946.88,10969.07,10824.77,10956.52,55.61,55.61,0.40,0.00,0.00,0.00,0.00,0.00,0.00,291.06,0.00
[07/04/2019 00:00],12500.02,12743.38,13136.19,13790.22,12251.79,12203.40,53.30,53.30,0.26,0.00,0.00,0.00,0.00,0.00,0.00,172.54,0.00
[08/04/2019 00:00],11383.15,11551.76,11950.82,12207.97,12247.40,12351.82,48.67,48.67,0.40,0.00,0.00,0.00,0.00,0.00,0.00,88.54,13.80
[09/04/2019 00:00],14438.40,14491.28,14561.28,14865.12,15283.71,15349.31,38.75,38.75,0.40,0.00,0.00,0.00,0.00,0.00,0.00,-82.26,42.72
[10/04/2019 00:00],10864.78,11089.72,11392.15,11815.46,11594.98,12215.92,46.39,46.39,0.40,0.00,0.00,0.00,0.00,0.00,0.00,-210.84,82.22
[11/04/2019 00:00],9835.89,9841.81,9869.47,10129.40,9791.95,9751.92,37.89,37.89,0.40,0.00,0.00,0.00,0.00,0.00,0.00,-534.30,0.00
[12/04/2019 00:00],11152.54,11119.26,11202.25,11179.54,10811.73,10195.78,43.35,43.36,0.40,0.00,0.00,0.00,0.00,0.00,0.00,-200.12,0.00
[13/04/2019 00:00],15460.58,15437.80,15497.70,15760.32,15386.83,15345.59,38.22,38.23,0.40,0.00,0.00,0.00,0.00,0.00,0.00,-517.00,6.64
[14/04/2019 00:00],14647.49,14677.95,14932.27,15293.64,15103.35,14612.14,37.87,37.87,0.26,0.00,0.00,0.00,0.00,0.00,0.00,-280.88,20.64
[15/04/2019 00:00],15948.26,15993.47,16201.74,16543.49,16063.24,16640.69,37.79,37.79,0.40,0.00,0.00,0.00,0.00,0.00,0.00,-457.48,72.56
[16/04/2019 00:00],11733.03,11940.73,12220.22,12727.20,12539.01,14178.11,51.14,51.14,0.40,0.00,0.00,0.00,0.00,0.00,0.00,242.80,38.80
[17/04/2019 00:00],11721.78,11919.59,12307.05,12743.21,12350.27,13844.42,50.00,50.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,35.50,71.48
[18/04/2019 00:00],14733.21,14845.17,15051.10,15510.97,16021.63,16295.41,51.70,51.70,0.40,0.00,0.00,0.00,0.00,0.00,0.00,106.46,92.18
[19/04/2019 00:00],13765.73,13908.06,14446.87,15606.26,16039.56,16141.35,40.70,40.71,0.40,0.00,0.00,0.00,0.00,0.00,0.00,-167.10,0.00
[20/04/2019 00:00],11097.24,11056.86,11293.88,12088.62,12241.03,12950.41,40.34,40.34,0.40,0.00,0.00,0.00,0.00,0.00,0.00,-115.62,0.00
[21/04/2019 00:00],13672.55,13639.42,13843.20,14427.33,14517.05,14002.78,30.96,30.97,0.26,0.00,0.00,0.00,0.00,0.00,0.00,-593.94,40.14
[22/04/2019 00:00],15702.76,15707.00,15908.32,16613.00,16239.24,15567.93,35.46,35.46,0.26,0.00,0.00,0.00,0.00,0.00,0.00,-125.16,80.90
[23/04/2019 00:00],16412.65,16697.43,17266.77,17883.50,17553.22,16888.97,40.01,40.01,0.40,0.00,0.00,0.00,0.00,0.00,0.00,76.52,75.76
[24/04/2019 00:00],13252.08,13534.05,14059.15,15096.03,15789.49,16446.55,46.97,46.98,0.40,0.00,0.00,0.00,0.00,0.00,0.00,231.46,19.64
[25/04/2019 00:00],12931.00,13019.40,13327.68,13791.19,13743.65,14292.25,39.15,39.15,0.40,0.00,0.00,0.00,0.00,0.00,0.00,-224.36,0.00
[26/04/2019 00:00],14794.83,14849.33,15173.97,15425.34,15390.89,18931.52,24.78,24.79,0.40,0.00,0.00,0.00,0.00,0.00,0.00,-922.62,0.00
[27/04/2019 00:00],17226.19,17204.50,17270.69,17737.68,17330.29,15621.31,38.95,38.96,0.40,0.00,0.00,0.00,0.00,0.00,0.00,11.10,46.92
[28/04/2019 00:00],12990.74,13242.10,13627.92,14408.09,14259.63,12734.17,50.15,50.16,0.26,0.00,0.00,0.00,0.00,0.00,0.00,315.28,228.44
[29/04/2019 00:00],9745.58,9792.62,9782.31,10014.08,9449.08,9192.45,37.89,37.90,0.51,0.00,0.00,0.00,0.00,0.00,0.00,-201.34,0.00
[30/04/2019 00:00],9442.05,9494.39,9608.82,9939.69,9617.52,8748.45,44.70,44.70,0.51,0.00,0.00,0.00,0.00,0.00,0.00,-9.04,37.92
[01/05/2019 00:00],8102.29,8044.99,7907.52,8081.45,8505.21,8043.54,38.16,38.16,0.51,0.00,0.00,0.00,0.00,0.00,0.00,-264.86,17.14
[02/05/2019 00:00],11206.16,11306.73,11490.38,11691.68,11218.97,10525.88,46.30,46.30,0.51,0.00,0.00,0.00,0.00,0.00,0.00,3.16,16.52
[03/05/2019 00:00],11737.19,11923.03,12282.71,13049.40,12181.29,12773.73,50.42,50.43,0.51,0.00,0.00,0.00,0.00,0.00,0.00,182.72,41.22
[04/05/2019 00:00],15748.40,15751.39,16004.62,16783.92,16539.05,17802.32,35.66,35.67,0.51,0.00,0.00,0.00,0.00,0.00,0.00,-403.34,0.00
[05/05/2019 00:00],12881.01,12963.40,13156.37,13813.93,13430.41,14146.04,39.19,39.19,0.24,0.00,0.00,0.00,0.00,0.00,0.00,12.96,29.94
[06/05/2019 00:00],11989.06,12127.92,12318.22,12575.98,11975.63,10610.86,39.80,39.81,0.24,0.00,0.00,0.00,0.00,0.00,0.00,-151.38,44.30
[07/05/2019 00:00],7381.18,7490.10,7671.61,7757.01,7491.85,7204.43,44.40,44.40,0.51,0.01,0.00,0.00,0.00,0.00,0.00,-132.80,0.00
[08/05/2019 00:00],12064.22,12281.64,12753.70,13562.97,14596.62,14945.01,49.66,49.67,0.51,0.00,0.00,0.00,0.00,0.00,0.00,419.90,20.86
[09/05/2019 00:00],9285.51,9493.19,9824.03,10183.47,10170.83,10378.14,74.71,74.71,0.51,0.00,0.00,0.00,0.00,0.00,0.00,616.14,160.42
[10/05/2019 00:00],8719.08,8963.15,9385.37,9877.70,8578.66,7874.23,53.58,53.58,0.51,0.00,0.00,0.00,0.00,0.00,0.00,91.92,31.18
[11/05/2019 00:00],13214.79,13298.07,13506.58,13847.71,13181.63,12145.10,40.57,40.57,0.51,0.00,0.00,0.00,0.00,0.00,0.00,-126.08,19.22
[12/05/2019 00:00],12655.27,12678.12,12773.05,13125.12,12331.02,11893.96,37.73,37.74,0.24,0.00,0.00,0.00,0.00,0.00,0.00,-332.02,30.38
[13/05/2019 00:00],11466.71,11509.08,11624.19,11801.18,10778.74,9897.15,42.01,42.02,0.51,0.00,0.00,0.00,0.00,0.00,0.00,-393.98,10.18
[14/05/2019 00:00],10072.47,10074.00,10125.25,10255.41,9395.75,8722.11,33.05,33.05,0.51,0.00,0.00,0.00,0.00,0.00,0.00,-390.46,26.80
[15/05/2019 00:00],11655.74,11687.48,11768.78,11986.22,11136.70,9974.45,34.15,34.15,0.51,0.00,0.00,0.00,0.00,0.00,0.00,-349.44,0.00
[16/05/2019 00:00],14604.87,14509.84,14553.72,14807.47,13900.20,13538.56,27.36,27.37,0.51,0.00,0.00,0.00,0.00,0.00,0.00,-716.10,0.00
[17/05/2019 00:00],11224.59,11322.47,11466.02,11507.28,10858.95,10634.39,39.54,39.54,0.51,0.00,0.00,0.00,0.00,0.00,0.00,-347.68,64.48
[18/05/2019 00:00],9561.02,9658.43,9862.50,10255.87,9069.92,8682.57,51.07,51.07,0.51,0.00,0.00,0.00,0.00,0.00,0.00,125.76,48.96
[19/05/2019 00:00],10819.01,10889.66,10958.53,11394.00,10392.91,8849.38,47.98,47.99,0.24,0.00,0.00,0.00,0.00,0.00,0.00,249.70,50.64
[20/05/2019 00:00],8889.69,8999.02,9100.42,9548.85,7944.18,6407.04,48.57,48.57,0.51,0.00,0.00,0.00,0.00,0.00,0.00,75.32,30.26
[21/05/2019 00:00],8760.34,8835.36,8983.25,9544.87,9273.49,7961.15,42.39,42.39,0.51,0.00,0.00,0.00,0.00,0.00,0.00,-78.34,0.00
[22/05/2019 00:00],9253.52,9289.56,9478.82,9880.18,8955.71,8888.84,36.32,36.32,0.51,0.00,0.00,0.00,0.00,0.00,0.00,-262.72,0.00
[23/05/2019 00:00],11020.36,11061.62,11253.53,11737.33,11480.55,13834.42,32.05,32.06,0.51,0.00,0.00,0.00,0.00,0.00,0.00,-270.34,0.00
[24/05/2019 00:00],11330.03,11368.35,11427.89,11773.52,10484.52,7699.14,37.32,37.33,0.51,0.00,0.00,0.00,0.00,0.00,0.00,-305.80,0.00
[25/05/2019 00:00],12040.86,12040.38,12107.36,12222.65,11759.21,11365.07,32.20,32.21,0.51,0.00,0.00,0.00,0.00,0.00,0.00,-234.60,0.14
[26/05/2019 00:00],17266.82,17253.55,17479.08,18401.47,18417.49,17501.95,-12.16,-12.16,0.24,0.00,0.00,0.00,0.00,0.00,0.00,-965.60,0.00
[27/05/2019 00:00],13777.12,13832.38,14076.72,14700.17,14441.91,12924.17,38.80,38.81,0.24,0.00,0.00,0.00,0.00,0.00,0.00,130.56,15.88
[28/05/2019 00:00],9525.36,9578.93,9750.24,10004.19,9065.94,8215.18,32.76,32.77,0.51,0.00,0.00,0.00,0.00,0.00,0.00,-421.88,22.10
[29/05/2019 00:00],10970.56,11095.00,11216.18,11324.58,10337.23,10274.58,37.98,37.99,0.51,0.00,0.00,0.00,0.00,0.00,0.00,-150.86,0.00
[30/05/2019 00:00],14184.68,14334.79,14586.47,15314.32,15550.96,14202.70,29.39,29.39,0.51,0.00,0.00,0.00,0.00,0.00,0.00,-311.58,27.18
[31/05/2019 00:00],13997.43,14116.45,14340.24,14626.48,14184.71,14081.43,41.68,41.69,0.51,0.00,0.00,0.00,0.00,0.00,0.00,166.74,32.14
[01/06/2019 00:00],12140.38,12315.79,12733.38,13497.63,13310.46,12887.72,43.16,43.16,0.51,0.00,0.00,0.00,0.00,0.00,0.00,185.90,80.72
[02/06/2019 00:00],16949.02,16929.44,17075.16,17490.16,17357.42,16215.96,43.06,43.07,0.24,0.00,0.00,0.00,0.00,0.00,0.00,216.22,138.30
[03/06/2019 00:00],14944.85,15198.93,15759.20,16072.98,16423.00,15630.16,35.81,35.82,0.51,0.00,0.00,0.00,0.00,0.00,0.00,219.30,158.56
[04/06/2019 00:00],8225.15,8426.07,8641.50,8859.68,8056.51,7516.04,43.43,43.44,0.51,0.00,0.01,0.00,0.00,0.00,0.00,61.54,29.06
[05/06/2019 00:00],10182.81,10282.21,10495.90,10916.64,10273.19,7843.59,34.10,34.11,0.51,0.00,0.00,0.00,0.00,0.00,0.00,-78.42,0.00
[06/06/2019 00:00],9943.51,9976.08,10015.02,10033.38,9227.67,7704.34,41.34,41.35,0.51,0.00,0.00,0.00,0.00,0.00,0.00,53.08,5.88
[07/06/2019 00:00],10681.93,10850.28,11203.34,12011.25,12227.88,12016.50,43.30,43.30,0.51,0.00,0.00,0.00,0.00,0.00,0.00,338.08,0.00
[08/06/2019 00:00],15144.19,15239.72,15741.92,16663.18,16779.25,14808.69,51.97,51.98,0.51,0.00,0.00,0.00,0.00,0.00,0.00,792.74,35.06
[09/06/2019 00:00],11621.91,11793.92,12230.33,13043.88,13289.21,11543.80,45.95,45.95,0.24,0.00,0.00,0.00,0.00,0.00,0.00,255.34,26.88
[10/06/2019 00:00],8385.67,8534.49,8656.91,8824.29,8463.54,7973.53,46.05,46.05,0.51,0.00,0.00,0.00,0.00,0.00,0.00,210.74,7.04
[11/06/2019 00:00],12016.10,12209.33,12382.20,12621.68,12073.30,12216.29,50.00,50.00,0.51,0.00,0.00,0.00,0.00,0.00,0.00,208.10,59.34
