Date (WET),Derated Margin,Derated Margin (HR M-2),Derated Margin (HR M-4),Derated Margin (HR M-8),Derated Margin (Noon 0),Derated Margin (Noon 1),System Sell Price (SSP),System Buy Price (SBP),STOR Window,LOLP (Noon 0),LOLP (Noon 1),LOLP (HR M-8),LOLP (HR M-4),LOLP (HR M-2),LOLP (Loss of Load Probability),NIV (Net Imbalance Volume),Non-BM STOR Generation
,MW,MW,MW,MW,MW,MW,GBP/MWh,GBP/MWh,,%,%,%,%,%,%,MW,MW
[17/01/2017 00:00],9264.15,9454.08,9707.40,10155.20,11126.37,12274.82,44.98,44.98,0.49,0.00,0.00,0.00,0.00,0.00,0.00,-572.98,34.84
[18/01/2017 00:00],11321.76,11507.63,11584.68,12056.00,12481.71,12808.67,40.90,40.90,0.49,0.00,0.00,0.00,0.00,0.00,0.00,-858.24,3.60
[19/01/2017 00:00],10065.02,9864.22,10415.85,10373.01,14950.73,11608.43,42.75,42.75,0.72,0.00,0.00,0.00,0.00,0.00,0.00,-713.34,4.30
[20/01/2017 00:00],10894.71,7443.92,8431.01,11519.08,8436.04,20210.20,43.82,43.82,0.49,0.00,0.00,0.00,0.00,0.00,0.00,-805.52,28.38
[21/01/2017 00:00],12117.35,12323.25,12433.86,12570.98,13466.29,10203.98,55.96,55.95,0.49,0.00,0.00,0.00,0.00,0.00,0.00,-389.26,44.40
[22/01/2017 00:00],11752.24,11926.45,12095.28,12200.49,12431.99,11850.63,62.83,62.83,0.32,0.00,0.00,0.00,0.00,0.00,0.00,170.34,27.06
[23/01/2017 00:00],10113.09,10299.75,10453.54,10302.07,10548.56,10596.42,69.45,69.45,0.49,0.00,0.00,0.00,0.00,0.00,0.00,-236.28,37.64
[24/01/2017 00:00],11644.64,11817.84,11998.54,12394.62,13391.75,15220.68,43.74,43.74,0.49,0.00,0.00,0.00,0.00,0.00,0.00,-723.78,0.00
[25/01/2017 00:00],13471.26,13663.46,14002.51,14186.21,14710.69,16573.57,55.96,55.95,0.49,0.00,0.00,0.00,0.00,0.00,0.00,-231.74,36.60
[26/01/2017 00:00],13732.54,14271.92,14416.58,14771.21,15051.40,16331.59,80.58,80.58,0.49,0.00,0.00,0.00,0.00,0.00,0.00,347.34,94.72
[27/01/2017 00:00],12761.33,13089.26,13410.75,13767.06,14545.32,15490.36,75.64,75.63,0.49,0.00,0.00,0.00,0.00,0.00,0.00,282.72,37.64
[28/01/2017 00:00],13135.92,13251.75,13557.37,14110.07,14720.52,15188.70,45.40,45.40,0.49,0.00,0.00,0.00,0.00,0.00,0.00,-444.26,19.00
[29/01/2017 00:00],13019.55,13212.60,13335.19,13280.71,14070.47,12976.61,67.91,67.90,0.32,0.00,0.00,0.00,0.00,0.00,0.00,-9.26,0.00
