Date (WET),Capacity,Total Accepted Balancing Level,Wind Outturn,National Grid Forecast,EnAppSys Forecast Trend-Adjusted,EnAppSys Forecast Unadjusted
,MW,MW,MW,MW,MW,MW
[04/12/2020 06:00],17983.0,1417.3,10826.0,9537.0,10393.4,9004.7
[04/12/2020 06:30],17983.0,1381.6,10737.0,9537.0,10648.5,8977.2
[04/12/2020 07:00],17983.0,1338.2,10413.0,9720.0,10600.8,8925.8
[04/12/2020 07:30],17983.0,942.6,10539.0,9720.0,10016.2,8702.4
[04/12/2020 08:00],17983.0,807.6,10255.0,9736.0,10060.1,8388.4
[04/12/2020 08:30],17983.0,422.2,10220.0,9736.0,9839.1,8080.5
[04/12/2020 09:00],17983.0,322.6,10058.0,9776.0,9486.1,7442.3
[04/12/2020 09:30],17983.0,235.2,10230.0,9776.0,9689.5,7376.1
[04/12/2020 10:00],17983.0,0.0,9911.0,9933.0,10692.4,8001.7
[04/12/2020 10:30],17983.0,0.0,9995.0,9933.0,9875.4,8250.7
[04/12/2020 11:00],17983.0,0.0,10248.0,10181.0,9758.3,8550.7
[04/12/2020 11:30],17983.0,0.0,10272.0,10181.0,9932.8,7784.8
[04/12/2020 12:00],17983.0,0.0,10434.8,10517.0,9660.5,7417.5
[04/12/2020 12:30],17983.0,34.8,10940.7,10517.0,10322.9,7540.4
[04/12/2020 13:00],17983.0,689.4,11124.3,11076.0,11582.1,8308.1
[04/12/2020 13:30],17983.0,1369.8,11019.0,11076.0,11385.5,8728.6
[04/12/2020 14:00],17983.0,1879.7,10605.7,11283.0,11160.4,9133.2
[04/12/2020 14:30],17983.0,2194.0,10451.5,11283.0,10706.8,9478.4
[04/12/2020 15:00],17983.0,2391.6,10514.0,11644.0,10597.1,9723.6
[04/12/2020 15:30],17983.0,2514.4,10709.2,11644.0,10629.3,9880.4
[04/12/2020 16:00],17983.0,2472.0,10953.8,11598.0,11090.9,10308.0
[04/12/2020 16:30],17983.0,2347.5,11177.2,11598.0,11228.1,10661.4
[04/12/2020 17:00],17983.0,2362.1,11272.3,11521.0,11355.6,10885.8
[04/12/2020 17:30],17983.0,2467.6,11141.3,11521.0,11501.8,11085.0
[04/12/2020 18:00],17983.0,2657.7,11115.5,11320.0,11477.9,11431.9
[04/12/2020 18:30],17983.0,2877.2,11098.8,11320.0,11300.4,11523.1
[04/12/2020 19:00],17983.0,2915.1,10889.8,11269.0,11217.2,11517.7
[04/12/2020 19:30],17983.0,2976.3,10700.2,11269.0,10969.2,11466.3
[04/12/2020 20:00],17983.0,3063.4,10534.2,11073.0,10722.7,11324.4
[04/12/2020 20:30],17983.0,3106.5,10409.8,11073.0,10528.7,11132.1
[04/12/2020 21:00],17983.0,3268.8,9985.8,12906.0,10394.8,10935.0
[04/12/2020 21:30],17983.0,3253.0,9587.7,12906.0,9983.4,10764.3
[04/12/2020 22:00],17983.0,3289.2,9530.5,12210.0,9619.7,10610.2
[04/12/2020 22:30],17983.0,3263.4,9341.8,12210.0,9551.1,10392.3
[04/12/2020 23:00],17983.0,3165.3,8783.2,11421.0,9334.5,10202.7
[04/12/2020 23:30],17983.0,3045.3,8810.0,11421.0,8685.7,9894.7
[05/12/2020 00:00],17983.0,2878.7,8912.5,10436.0,8625.6,9363.3
[05/12/2020 00:30],17983.0,2726.7,8571.5,10436.0,8893.6,9137.5
[05/12/2020 01:00],17983.0,2263.2,8422.3,9742.0,8642.5,9147.7
[05/12/2020 01:30],17983.0,1819.1,8688.2,9742.0,8466.9,9069.1
[05/12/2020 02:00],17983.0,1655.8,8430.0,9390.0,8774.9,8964.4
[05/12/2020 02:30],17983.0,1497.6,8410.3,9390.0,8390.8,8794.5
[05/12/2020 03:00],17983.0,1332.8,8311.3,9107.0,8411.3,8679.9
[05/12/2020 03:30],17983.0,1067.4,8291.3,9107.0,8285.1,8533.7
[05/12/2020 04:00],17983.0,736.2,8567.2,8696.0,8293.6,8429.6
[05/12/2020 04:30],17983.0,639.2,8545.5,8696.0,8557.4,8262.5
[05/12/2020 05:00],17983.0,340.0,7973.7,8239.0,8491.3,8145.8
