Date (WET),BELGIUM (BE),FRANCE (FR),ISEM (ISEM),NETHERLANDS (NL),NORWAY (NO)
,GBP/MWh,GBP/MWh,GBP/MWh,GBP/MWh,GBP/MWh
[23/10/2018 09:00],-12.08,1.70,-1.44,2.14,27.92
[23/10/2018 09:30],-12.08,1.70,-1.44,2.14,27.92
[23/10/2018 10:00],-15.87,1.63,-1.53,2.06,26.29
[23/10/2018 10:30],-15.87,1.63,-1.53,2.06,26.29
[23/10/2018 11:00],-16.33,-1.23,-1.43,12.70,23.25
[23/10/2018 11:30],-16.33,-1.23,-1.43,12.70,23.25
[23/10/2018 12:00],-9.93,1.11,-1.41,10.83,22.73
[23/10/2018 12:30],-9.93,1.11,-1.41,10.83,22.73
[23/10/2018 13:00],-10.61,-0.04,-2.37,9.15,17.85
[23/10/2018 13:30],-10.61,-0.04,-2.37,9.15,17.85
[23/10/2018 14:00],-17.78,1.35,-2.55,4.48,16.79
[23/10/2018 14:30],-17.78,1.35,-2.55,4.48,16.79
[23/10/2018 15:00],-25.86,1.38,-2.63,1.75,18.67
[23/10/2018 15:30],-25.86,1.38,-2.63,1.75,18.67
[23/10/2018 16:00],-21.44,1.51,-1.40,1.90,22.40
[23/10/2018 16:30],-21.44,1.51,-1.40,1.90,22.40
[23/10/2018 17:00],-20.11,11.33,-1.78,12.29,37.53
[23/10/2018 17:30],-20.11,11.33,-1.78,12.29,37.53
[23/10/2018 18:00],-18.42,20.67,-2.30,22.94,59.08
[23/10/2018 18:30],-18.42,20.67,-2.30,22.94,59.08
[23/10/2018 19:00],-22.72,13.60,-3.93,27.11,44.65
[23/10/2018 19:30],-22.72,13.60,-3.93,27.11,44.65
[23/10/2018 20:00],-27.41,1.58,-3.01,4.59,27.36
[23/10/2018 20:30],-27.41,1.58,-3.01,4.59,27.36
[23/10/2018 21:00],-34.64,1.58,-1.48,8.30,29.23
[23/10/2018 21:30],-34.64,1.58,-1.48,8.30,29.23
[23/10/2018 22:00],-39.30,1.39,-2.65,12.73,27.53
[23/10/2018 22:30],-39.30,1.39,-2.65,12.73,27.53
[23/10/2018 23:00],-27.54,1.32,-1.18,17.61,20.35
[23/10/2018 23:30],-27.54,1.32,-1.18,17.61,20.35
[24/10/2018 00:00],-2.50,1.20,-1.16,11.14,17.41
[24/10/2018 00:30],-2.50,1.20,-1.16,11.14,17.41
[24/10/2018 01:00],-6.21,1.16,-1.10,6.66,15.81
[24/10/2018 01:30],-6.21,1.16,-1.10,6.66,15.81
[24/10/2018 02:00],-8.19,1.03,-1.89,5.19,10.74
[24/10/2018 02:30],-8.19,1.03,-1.89,5.19,10.74
[24/10/2018 03:00],-7.73,1.04,-1.43,9.26,13.61
[24/10/2018 03:30],-7.73,1.04,-1.43,9.26,13.61
[24/10/2018 04:00],-0.75,1.19,-1.09,6.55,11.90
[24/10/2018 04:30],-0.75,1.19,-1.09,6.55,11.90
[24/10/2018 05:00],-5.40,3.56,-1.30,13.15,17.14
[24/10/2018 05:30],-5.40,3.56,-1.30,13.15,17.14
[24/10/2018 06:00],-18.84,1.83,11.90,10.12,31.05
[24/10/2018 06:30],-18.84,1.83,11.90,10.12,31.05
[24/10/2018 07:00],-21.20,-1.38,-7.39,18.40,26.65
[24/10/2018 07:30],-21.20,-1.38,-7.39,18.40,26.65
[24/10/2018 08:00],-18.08,1.85,-8.36,13.73,30.42
[24/10/2018 08:30],-18.08,1.85,-8.36,13.73,30.42
[24/10/2018 09:00],-20.80,-0.03,-3.33,20.70,28.10
[24/10/2018 09:30],-20.80,-0.03,-3.33,20.70,28.10
[24/10/2018 10:00],-21.48,-1.37,-3.27,16.45,26.10
[24/10/2018 10:30],-21.48,-1.37,-3.27,16.45,26.10
[24/10/2018 11:00],-21.55,-1.33,-3.19,16.01,24.37
[24/10/2018 11:30],-21.55,-1.33,-3.19,16.01,24.37
[24/10/2018 12:00],-14.54,-0.18,-2.98,12.14,21.54
[24/10/2018 12:30],-14.54,-0.18,-2.98,12.14,21.54
[24/10/2018 13:00],-12.08,-1.19,-2.83,8.62,18.11
[24/10/2018 13:30],-12.08,-1.19,-2.83,8.62,18.11
[24/10/2018 14:00],-1.64,0.20,-2.80,1.87,17.42
[24/10/2018 14:30],-1.64,0.20,-2.80,1.87,17.42
[24/10/2018 15:00],1.28,1.52,-2.84,1.93,19.06
[24/10/2018 15:30],1.28,1.52,-2.84,1.93,19.06
[24/10/2018 16:00],-0.39,1.59,-9.30,2.01,21.31
[24/10/2018 16:30],-0.39,1.59,-9.30,2.01,21.31
[24/10/2018 17:00],-8.37,1.96,-13.79,9.02,34.84
[24/10/2018 17:30],-8.37,1.96,-13.79,9.02,34.84
[24/10/2018 18:00],1.01,14.59,-20.30,27.60,53.31
[24/10/2018 18:30],1.01,14.59,-20.30,27.60,53.31
